target_crate,shadow_crate,item_path,item_kind,gap_kind,matched_shadow_item,drift_confidence,notes
accesskit,elicit_accesskit,accesskit::ActionData,Enum,Missing,,,
accesskit,elicit_accesskit,accesskit::ActionRequest,Struct,Missing,,,
accesskit,elicit_accesskit,accesskit::Node,Struct,Missing,,,
accesskit,elicit_accesskit,accesskit::NodeIdContent,TypeAlias,Missing,,,
accesskit,elicit_accesskit,accesskit::TreeUpdate,Struct,Missing,,,
axum,elicit_axum,axum::error_handling::HandleError,Struct,Missing,,,
axum,elicit_axum,axum::error_handling::HandleErrorLayer,Struct,Missing,,,
axum,elicit_axum,axum::error_handling::future::HandleErrorFuture,Struct,Missing,,,
axum,elicit_axum,axum::extension::AddExtension,Struct,Missing,,,
axum,elicit_axum,axum::extension::Extension,Struct,Missing,,,
axum,elicit_axum,axum::extract::connect_info::ConnectInfo,Struct,Missing,,,
axum,elicit_axum,axum::extract::connect_info::IntoMakeServiceWithConnectInfo,Struct,Missing,,,
axum,elicit_axum,axum::extract::connect_info::MockConnectInfo,Struct,Missing,,,
axum,elicit_axum,axum::extract::connect_info::ResponseFuture,Struct,Missing,,,
axum,elicit_axum,axum::extract::matched_path::MatchedPath,Struct,Missing,,,
axum,elicit_axum,axum::extract::multipart::Field,Struct,Missing,,,
axum,elicit_axum,axum::extract::multipart::InvalidBoundary,Struct,Missing,,,
axum,elicit_axum,axum::extract::multipart::Multipart,Struct,Missing,,,
axum,elicit_axum,axum::extract::multipart::MultipartError,Struct,Missing,,,
axum,elicit_axum,axum::extract::multipart::MultipartRejection,Enum,Missing,,,
axum,elicit_axum,axum::extract::nested_path::NestedPath,Struct,Missing,,,
axum,elicit_axum,axum::extract::original_uri::OriginalUri,Struct,Missing,,,
axum,elicit_axum,axum::extract::path::ErrorKind,Enum,Missing,,,
axum,elicit_axum,axum::extract::path::FailedToDeserializePathParams,Struct,Missing,,,
axum,elicit_axum,axum::extract::path::InvalidUtf8InPathParam,Struct,Missing,,,
axum,elicit_axum,axum::extract::path::Path,Struct,Missing,,,
axum,elicit_axum,axum::extract::path::RawPathParams,Struct,Missing,,,
axum,elicit_axum,axum::extract::path::RawPathParamsIter,Struct,Missing,,,
axum,elicit_axum,axum::extract::query::Query,Struct,Missing,,,
axum,elicit_axum,axum::extract::raw_form::RawForm,Struct,Missing,,,
axum,elicit_axum,axum::extract::raw_query::RawQuery,Struct,Missing,,,
axum,elicit_axum,axum::extract::rejection::ExtensionRejection,Enum,Missing,,,
axum,elicit_axum,axum::extract::rejection::FailedToDeserializeForm,Struct,Missing,,,
axum,elicit_axum,axum::extract::rejection::FailedToDeserializeFormBody,Struct,Missing,,,
axum,elicit_axum,axum::extract::rejection::FailedToDeserializeQueryString,Struct,Missing,,,
axum,elicit_axum,axum::extract::rejection::FormRejection,Enum,Missing,,,
axum,elicit_axum,axum::extract::rejection::InvalidFormContentType,Struct,Missing,,,
axum,elicit_axum,axum::extract::rejection::JsonDataError,Struct,Missing,,,
axum,elicit_axum,axum::extract::rejection::JsonRejection,Enum,Missing,,,
axum,elicit_axum,axum::extract::rejection::JsonSyntaxError,Struct,Missing,,,
axum,elicit_axum,axum::extract::rejection::MatchedPathMissing,Struct,Missing,,,
axum,elicit_axum,axum::extract::rejection::MatchedPathRejection,Enum,Missing,,,
axum,elicit_axum,axum::extract::rejection::MissingExtension,Struct,Missing,,,
axum,elicit_axum,axum::extract::rejection::MissingJsonContentType,Struct,Missing,,,
axum,elicit_axum,axum::extract::rejection::MissingPathParams,Struct,Missing,,,
axum,elicit_axum,axum::extract::rejection::NestedPathRejection,Struct,Missing,,,
axum,elicit_axum,axum::extract::rejection::PathRejection,Enum,Missing,,,
axum,elicit_axum,axum::extract::rejection::QueryRejection,Enum,Missing,,,
axum,elicit_axum,axum::extract::rejection::RawFormRejection,Enum,Missing,,,
axum,elicit_axum,axum::extract::rejection::RawPathParamsRejection,Enum,Missing,,,
axum,elicit_axum,axum::extract::state::State,Struct,Missing,,,
axum,elicit_axum,axum::extract::ws::CloseCode,TypeAlias,Missing,,,
axum,elicit_axum,axum::extract::ws::CloseFrame,Struct,Missing,,,
axum,elicit_axum,axum::extract::ws::DefaultOnFailedUpgrade,Struct,Missing,,,
axum,elicit_axum,axum::extract::ws::Message,Enum,Missing,,,
axum,elicit_axum,axum::extract::ws::Utf8Bytes,Struct,Missing,,,
axum,elicit_axum,axum::extract::ws::WebSocket,Struct,Missing,,,
axum,elicit_axum,axum::extract::ws::WebSocketUpgrade,Struct,Missing,,,
axum,elicit_axum,axum::extract::ws::rejection::ConnectionNotUpgradable,Struct,Missing,,,
axum,elicit_axum,axum::extract::ws::rejection::InvalidConnectionHeader,Struct,Missing,,,
axum,elicit_axum,axum::extract::ws::rejection::InvalidProtocolPseudoheader,Struct,Missing,,,
axum,elicit_axum,axum::extract::ws::rejection::InvalidUpgradeHeader,Struct,Missing,,,
axum,elicit_axum,axum::extract::ws::rejection::InvalidWebSocketVersionHeader,Struct,Missing,,,
axum,elicit_axum,axum::extract::ws::rejection::MethodNotConnect,Struct,Missing,,,
axum,elicit_axum,axum::extract::ws::rejection::MethodNotGet,Struct,Missing,,,
axum,elicit_axum,axum::extract::ws::rejection::WebSocketKeyHeaderMissing,Struct,Missing,,,
axum,elicit_axum,axum::extract::ws::rejection::WebSocketUpgradeRejection,Enum,Missing,,,
axum,elicit_axum,axum::form::Form,Struct,Missing,,,
axum,elicit_axum,axum::handler::Layered,Struct,Missing,,,
axum,elicit_axum,axum::handler::future::IntoServiceFuture,Struct,Missing,,,
axum,elicit_axum,axum::handler::future::LayeredFuture,Struct,Missing,,,
axum,elicit_axum,axum::handler::private::IntoResponseHandler,Enum,Missing,,,
axum,elicit_axum,axum::handler::service::HandlerService,Struct,Missing,,,
axum,elicit_axum,axum::json::Json,Struct,Missing,,,
axum,elicit_axum,axum::middleware::from_extractor::FromExtractor,Struct,Missing,,,
axum,elicit_axum,axum::middleware::from_extractor::FromExtractorLayer,Struct,Missing,,,
axum,elicit_axum,axum::middleware::from_extractor::ResponseFuture,Struct,Missing,,,
axum,elicit_axum,axum::middleware::from_fn::FromFn,Struct,Missing,,,
axum,elicit_axum,axum::middleware::from_fn::FromFnLayer,Struct,Missing,,,
axum,elicit_axum,axum::middleware::from_fn::Next,Struct,Missing,,,
axum,elicit_axum,axum::middleware::from_fn::ResponseFuture,Struct,Missing,,,
axum,elicit_axum,axum::middleware::map_request::MapRequest,Struct,Missing,,,
axum,elicit_axum,axum::middleware::map_request::MapRequestLayer,Struct,Missing,,,
axum,elicit_axum,axum::middleware::map_request::ResponseFuture,Struct,Missing,,,
axum,elicit_axum,axum::middleware::map_response::MapResponse,Struct,Missing,,,
axum,elicit_axum,axum::middleware::map_response::MapResponseLayer,Struct,Missing,,,
axum,elicit_axum,axum::middleware::map_response::ResponseFuture,Struct,Missing,,,
axum,elicit_axum,axum::middleware::response_axum_body::ResponseAxumBody,Struct,Missing,,,
axum,elicit_axum,axum::middleware::response_axum_body::ResponseAxumBodyFuture,Struct,Missing,,,
axum,elicit_axum,axum::middleware::response_axum_body::ResponseAxumBodyLayer,Struct,Missing,,,
axum,elicit_axum,axum::response::Html,Struct,Missing,,,
axum,elicit_axum,axum::response::NoContent,Struct,Missing,,,
