type_path,type_kind,api_family,is_generic,lifetime_params,type_params,elicit_impl,proof_test,composition_test,row_kind,primary_gap_kind,our_traits_complete,direct_our_traits_complete,covered_indirectly,coverage_provider,wrapper_paths,direct_missing_our_traits,feature_unlock_possible,feature_owner_crate,blocked_reason,has_serialize,has_deserialize,has_json_schema,has_elicitation,has_elicit_introspect,has_elicit_spec,has_elicit_prompt_tree,has_to_code_literal,can_be_direct,missing_external_traits,missing_our_traits,candidate_unlock_features,action,notes
geo::algorithm::affine_ops::AffineTransform,Struct,geo::algorithm::affine_ops,true,,T,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,geo,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `geo::algorithm::affine_ops::AffineTransform`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
geo::algorithm::ball_tree::BallTree,Struct,geo::algorithm::ball_tree,true,,T;D,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,geo,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `geo::algorithm::ball_tree::BallTree`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
geo::algorithm::ball_tree::BallTreeBuilder,Struct,geo::algorithm::ball_tree,false,,,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,geo,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `geo::algorithm::ball_tree::BallTreeBuilder`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
geo::algorithm::ball_tree::NearestNeighbour,Struct,geo::algorithm::ball_tree,true,'a,T;D,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,geo,lifetime-bound type: direct `ElicitComplete` is illegal because `Elicitation` requires `'static`,absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `geo::algorithm::ball_tree::NearestNeighbour`: ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
geo::algorithm::ball_tree::PointWithData,Struct,geo::algorithm::ball_tree,true,,T;D,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,geo,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `geo::algorithm::ball_tree::PointWithData`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
geo::algorithm::bool_ops::OpType,Enum,geo::algorithm::bool_ops,false,,,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,geo,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `geo::algorithm::bool_ops::OpType`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
geo::algorithm::buffer::BufferStyle,Struct,geo::algorithm::buffer,true,,T,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,geo,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `geo::algorithm::buffer::BufferStyle`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
geo::algorithm::concave_hull::ConcaveHullOptions,Struct,geo::algorithm::concave_hull,true,,T,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,geo,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `geo::algorithm::concave_hull::ConcaveHullOptions`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
geo::algorithm::coordinate_position::CoordPos,Enum,geo::algorithm::coordinate_position,false,,,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,geo,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `geo::algorithm::coordinate_position::CoordPos`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
geo::algorithm::dimensions::Dimensions,Enum,geo::algorithm::dimensions,false,,,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,geo,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `geo::algorithm::dimensions::Dimensions`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
geo::algorithm::extremes::Extreme,Struct,geo::algorithm::extremes,true,,T,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,geo,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `geo::algorithm::extremes::Extreme`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
geo::algorithm::extremes::Outcome,Struct,geo::algorithm::extremes,true,,T,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,geo,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `geo::algorithm::extremes::Outcome`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
geo::algorithm::indexed::interval_tree_multipolygon::IntervalTreeMultiPolygon,Struct,geo::algorithm::indexed,true,,T,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,geo,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `geo::algorithm::indexed::interval_tree_multipolygon::IntervalTreeMultiPolygon`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
geo::algorithm::indexed::prepared_geometry::PreparedGeometry,Struct,geo::algorithm::indexed,true,'a,G;F,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,geo,lifetime-bound type: direct `ElicitComplete` is illegal because `Elicitation` requires `'static`,absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `geo::algorithm::indexed::prepared_geometry::PreparedGeometry`: ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
