type_path,type_kind,is_generic,type_params,elicit_impl,proof_test,composition_test,has_serialize,has_deserialize,has_json_schema,has_elicitation,has_elicit_introspect,has_elicit_spec,has_elicit_prompt_tree,has_to_code_literal,can_be_direct,external_blockers,notes
geojson::Bbox,TypeAlias,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
geojson::JsonObject,TypeAlias,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
geojson::JsonValue,TypeAlias,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
geojson::LineStringType,TypeAlias,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
geojson::PointType,TypeAlias,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
geojson::PolygonType,TypeAlias,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
geojson::errors::Error,Enum,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
geojson::errors::Result,TypeAlias,true,T,Missing,Missing,Covered,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
geojson::feature::Feature,Struct,false,,Missing,Covered,Missing,present,present,absent,present,present,present,present,present,absent,JsonSchema(absent),
geojson::feature::Id,Enum,false,,Missing,Covered,Missing,present,present,absent,present,present,present,present,present,absent,JsonSchema(absent),
geojson::feature_collection::FeatureCollection,Struct,false,,Missing,Covered,Missing,present,present,absent,present,present,present,present,present,absent,JsonSchema(absent),
geojson::feature_iterator::FeatureIterator,Struct,true,R;D,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
geojson::feature_reader::FeatureReader,Struct,true,R,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
geojson::feature_writer::FeatureWriter,Struct,true,W,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
geojson::geojson::GeoJson,Enum,false,,Missing,Covered,Missing,present,present,absent,present,present,present,present,present,absent,JsonSchema(absent),
geojson::geometry::Geometry,Struct,false,,Missing,Covered,Missing,present,present,absent,present,present,present,present,present,absent,JsonSchema(absent),
geojson::geometry::GeometryValue,Enum,false,,Missing,Covered,Missing,present,present,absent,present,present,present,present,present,absent,JsonSchema(absent),
geojson::geometry::Value,TypeAlias,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
geojson::geometry::deserialize::GeometryType,Enum,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
geojson::position::Position,Struct,false,,Missing,Missing,Missing,present,present,absent,absent,absent,absent,absent,absent,absent,JsonSchema(absent),
