type_path,type_kind,api_family,is_generic,lifetime_params,type_params,elicit_impl,proof_test,composition_test,row_kind,primary_gap_kind,our_traits_complete,direct_our_traits_complete,covered_indirectly,coverage_provider,wrapper_paths,direct_missing_our_traits,feature_unlock_possible,feature_owner_crate,blocked_reason,has_serialize,has_deserialize,has_json_schema,has_elicitation,has_elicit_introspect,has_elicit_spec,has_elicit_prompt_tree,has_to_code_literal,can_be_direct,missing_external_traits,missing_our_traits,candidate_unlock_features,action,notes
bevy_ui::ui_node::VisualBox,Enum,bevy_ui::ui_node::VisualBox,false,,,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,elicitation::primitives::bevy_types::ui::BevyVisualBox,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,elicitation,wrapper coverage reduces direct trait gaps; remaining uncovered traits: ElicitSpec (wrappers: elicitation::primitives::bevy_types::ui::BevyVisualBox),absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),ElicitSpec,,Finish indirect coverage for `bevy_ui::ui_node::VisualBox` by completing wrapper-provided traits: ElicitSpec. Known wrappers for indirect coverage: elicitation::primitives::bevy_types::ui::BevyVisualBox.,
elicitation::contracts::And,Struct,elicitation::contracts::And,true,,P;Q,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,elicitation,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `elicitation::contracts::And`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
elicitation::contracts::Established,Struct,elicitation::contracts::Established,true,,P,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,ElicitIntrospect;ElicitSpec,false,elicitation,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent)",absent,absent,present,present,absent,absent,present,present,false,Serialize(absent);Deserialize(absent),ElicitIntrospect;ElicitSpec,,"Add support traits to `elicitation::contracts::Established`: ElicitIntrospect, ElicitSpec; external blockers remain: Serialize(absent), Deserialize(absent).",
elicitation::contracts::InVariant,Struct,elicitation::contracts::InVariant,true,,E;V,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,elicitation,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `elicitation::contracts::InVariant`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
elicitation::contracts::Is,Struct,elicitation::contracts::Is,true,,T,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,elicitation,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `elicitation::contracts::Is`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
elicitation::contracts::KaniVariantConstruction,Struct,elicitation::contracts::KaniVariantConstruction,false,,,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,elicitation,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `elicitation::contracts::KaniVariantConstruction`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
elicitation::datetime_chrono::DateTimeFixedOffsetStyle,Enum,elicitation::datetime_chrono::DateTimeFixedOffsetStyle,false,,,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,ElicitIntrospect;ElicitSpec;ToCodeLiteral,false,elicitation,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,present,absent,absent,present,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),ElicitIntrospect;ElicitSpec;ToCodeLiteral,,"Add support traits to `elicitation::datetime_chrono::DateTimeFixedOffsetStyle`: ElicitIntrospect, ElicitSpec, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
elicitation::datetime_chrono::DateTimeUtcGenerationMode,Enum,elicitation::datetime_chrono::DateTimeUtcGenerationMode,false,,,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,elicitation,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,present,present,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `elicitation::datetime_chrono::DateTimeUtcGenerationMode`: ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
elicitation::datetime_chrono::DateTimeUtcGenerationModeStyle,Enum,elicitation::datetime_chrono::DateTimeUtcGenerationModeStyle,false,,,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,ElicitIntrospect;ElicitSpec;ToCodeLiteral,false,elicitation,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,present,absent,absent,present,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),ElicitIntrospect;ElicitSpec;ToCodeLiteral,,"Add support traits to `elicitation::datetime_chrono::DateTimeUtcGenerationModeStyle`: ElicitIntrospect, ElicitSpec, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
elicitation::datetime_chrono::DateTimeUtcGenerator,Struct,elicitation::datetime_chrono::DateTimeUtcGenerator,false,,,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,elicitation,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `elicitation::datetime_chrono::DateTimeUtcGenerator`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
