type_path,type_kind,is_generic,type_params,elicit_impl,proof_test,composition_test,has_serialize,has_deserialize,has_json_schema,has_elicitation,has_elicit_introspect,has_elicit_spec,has_elicit_prompt_tree,has_to_code_literal,can_be_direct,external_blockers,notes
proj::proj::Area,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj::proj::Info,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj::proj::Proj,Struct,false,,Missing,Missing,Covered,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj::proj::ProjBuilder,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj::proj::ProjCreateError,Enum,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj::proj::ProjError,Enum,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj::proj::ProjInfo,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj::proj::WktOptions,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj::proj::WktOutputAxis,Enum,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj::proj::WktVersion,Enum,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj::transform::TransformError,Enum,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::P5_FACTORS,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_AREA,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_AXIS_DESCRIPTION,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_CONTEXT,TypeAlias,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_ELLPS,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_ENU,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_GEOD,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_GRID_INFO,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_INFO,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_INIT_INFO,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_INSERT_SESSION,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_LIST,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_LP,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_LPZ,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_LPZT,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_OBJ_LIST,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_OPERATION_FACTORY_CONTEXT,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_OPK,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_PARAM_DESCRIPTION,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_PRIME_MERIDIANS,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_PROJ_INFO,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_UNITS,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_UV,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_UVW,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
proj_sys::PJ_UVWT,Struct,false,,Missing,Missing,Missing,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,feature_gated,Serialize(feature_gated);Deserialize(feature_gated);JsonSchema(feature_gated),
