type_path,type_kind,is_generic,type_params,elicit_impl,proof_test,composition_test,has_serialize,has_deserialize,has_json_schema,has_elicitation,has_elicit_introspect,has_elicit_spec,has_elicit_prompt_tree,has_to_code_literal,can_be_direct,external_blockers,notes
redb::Result,TypeAlias,true,T;E,Missing,Missing,Covered,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::db::Builder,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::db::CacheStats,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::db::Database,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::db::MultimapTableDefinition,Struct,true,K;V,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::db::ReadOnlyDatabase,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::db::RepairSession,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::db::TableDefinition,Struct,true,K;V,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::db::UntypedMultimapTableHandle,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::db::UntypedTableHandle,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::error::CommitError,Enum,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::error::CompactionError,Enum,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::error::DatabaseError,Enum,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::error::Error,Enum,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::error::SavepointError,Enum,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::error::SetDurabilityError,Enum,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::error::StorageError,Enum,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::error::TableError,Enum,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::error::TransactionError,Enum,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::multimap_table::MultimapRange,Struct,true,K;V,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::multimap_table::MultimapTable,Struct,true,K;V,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::multimap_table::MultimapValue,Struct,true,V,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::multimap_table::ReadOnlyMultimapTable,Struct,true,K;V,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::multimap_table::ReadOnlyUntypedMultimapTable,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::table::ExtractIf,Struct,true,K;V;F,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::table::Range,Struct,true,K;V,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::table::ReadOnlyTable,Struct,true,K;V,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::table::ReadOnlyUntypedTable,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::table::Table,Struct,true,K;V,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::table::TableStats,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::transactions::DatabaseStats,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::transactions::Durability,Enum,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::transactions::ReadTransaction,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::transactions::WriteTransaction,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::tree_store::btree_base::AccessGuard,Struct,true,V,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::tree_store::btree_base::AccessGuardMut,Struct,true,V,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::tree_store::btree_base::AccessGuardMutInPlace,Struct,true,V,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::tree_store::page_store::backends::InMemoryBackend,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::tree_store::page_store::file_backend::optimized::FileBackend,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::tree_store::page_store::savepoint::Savepoint,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
redb::types::TypeName,Struct,false,,Missing,Missing,Missing,absent,absent,absent,absent,absent,absent,absent,absent,absent,Serialize(absent);Deserialize(absent);JsonSchema(absent),
