item_path,item_kind,status,shadow_item,drift_confidence,notes
accesskit::Action,Enum,Covered,elicit_accesskit::enums::Action,,
accesskit::ActionData,Enum,Missing,,,
accesskit::ActionRequest,Struct,Missing,,,
accesskit::AriaCurrent,Enum,Covered,elicit_accesskit::enums::AriaCurrent,,
accesskit::AutoComplete,Enum,Covered,elicit_accesskit::enums::AutoComplete,,
accesskit::CustomAction,Struct,Covered,elicit_accesskit::structs::CustomAction,,
accesskit::HasPopup,Enum,Covered,elicit_accesskit::enums::HasPopup,,
accesskit::Invalid,Enum,Covered,elicit_accesskit::enums::Invalid,,
accesskit::ListStyle,Enum,Covered,elicit_accesskit::enums::ListStyle,,
accesskit::Live,Enum,Covered,elicit_accesskit::enums::Live,,
accesskit::Node,Struct,Missing,,,
accesskit::NodeId,Struct,Covered,elicit_accesskit::node_id::NodeId,,
accesskit::NodeIdContent,TypeAlias,Missing,,,
accesskit::Orientation,Enum,Covered,elicit_accesskit::enums::Orientation,,
accesskit::Role,Enum,Covered,elicit_accesskit::enums::Role,,
accesskit::ScrollHint,Enum,Covered,elicit_accesskit::enums::ScrollHint,,
accesskit::ScrollUnit,Enum,Covered,elicit_accesskit::enums::ScrollUnit,,
accesskit::SortDirection,Enum,Covered,elicit_accesskit::enums::SortDirection,,
accesskit::TextAlign,Enum,Covered,elicit_accesskit::enums::TextAlign,,
accesskit::TextDecoration,Enum,Covered,elicit_accesskit::structs::TextDecoration,,
accesskit::TextDirection,Enum,Covered,elicit_accesskit::enums::TextDirection,,
accesskit::TextPosition,Struct,Covered,elicit_accesskit::structs::TextPosition,,
accesskit::TextSelection,Struct,Covered,elicit_accesskit::structs::TextSelection,,
accesskit::Toggled,Enum,Covered,elicit_accesskit::enums::Toggled,,
accesskit::Tree,Struct,Covered,elicit_accesskit::structs::Tree,,
accesskit::TreeUpdate,Struct,Missing,,,
accesskit::VerticalOffset,Enum,Covered,elicit_accesskit::enums::VerticalOffset,,
accesskit::geometry::Affine,Struct,Covered,elicit_accesskit::geometry::Affine,,
accesskit::geometry::Point,Struct,Covered,elicit_accesskit::geometry::Point,,
accesskit::geometry::Rect,Struct,Covered,elicit_accesskit::geometry::Rect,,
accesskit::geometry::Size,Struct,Covered,elicit_accesskit::geometry::Size,,
accesskit::geometry::Vec2,Struct,Covered,elicit_accesskit::geometry::Vec2,,
elicit_accesskit::enums::TextDecorationStyle,Struct,Extra,,,"in shadow, not in target"
elicit_accesskit::node::NodeJson,Struct,Extra,,,"in shadow, not in target"
elicit_accesskit::node_id::TreeId,Struct,Extra,,,"in shadow, not in target"
elicit_accesskit::sql::SqlToken,Struct,Extra,,,"in shadow, not in target"
elicit_accesskit::sql::SqlTokenKind,Enum,Extra,,,"in shadow, not in target"
elicit_accesskit::status_bar::ColorTheme,Enum,Extra,,,"in shadow, not in target"
elicit_accesskit::status_bar::ColorThemeIter,Struct,Extra,,,"in shadow, not in target"
elicit_accesskit::status_bar::KeyBinding,Struct,Extra,,,"in shadow, not in target"
elicit_accesskit::status_bar::StatusBarDescriptor,Struct,Extra,,,"in shadow, not in target"
elicit_accesskit::structs::Color,Struct,Extra,,,"in shadow, not in target"
elicit_accesskit::tree_update::NodeEntry,Struct,Extra,,,"in shadow, not in target"
elicit_accesskit::tree_update::TreeUpdateJson,Struct,Extra,,,"in shadow, not in target"
