item_path,item_kind,api_family,status,coverage_kind,primary_gap_kind,shadow_item,drift_confidence,shadow_elicit_impl,verification_gap,verification_ready,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,action,notes
axum::body::to_bytes,Function,axum::body::to_bytes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `axum::body::to_bytes` so the full public API surface is represented,
axum::error_handling::HandleError,Struct,axum::error_handling::HandleError,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::error_handling::HandleError` and make the new wrapper `ElicitComplete`,
axum::error_handling::HandleErrorLayer,Struct,axum::error_handling::HandleErrorLayer,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::error_handling::HandleErrorLayer` and make the new wrapper `ElicitComplete`,
axum::error_handling::future::HandleErrorFuture,Struct,axum::error_handling::future,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::error_handling::future::HandleErrorFuture` and make the new wrapper `ElicitComplete`,
axum::extension::AddExtension,Struct,axum::extension::AddExtension,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extension::AddExtension` and make the new wrapper `ElicitComplete`,
axum::extension::Extension,Struct,axum::extension::Extension,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extension::Extension` and make the new wrapper `ElicitComplete`,
axum::extract::connect_info::ConnectInfo,Struct,axum::extract::connect_info,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::connect_info::ConnectInfo` and make the new wrapper `ElicitComplete`,
axum::extract::connect_info::Connected,Trait,axum::extract::connect_info,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `axum::extract::connect_info::Connected` so the full public API surface is represented,
axum::extract::connect_info::IntoMakeServiceWithConnectInfo,Struct,axum::extract::connect_info,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::connect_info::IntoMakeServiceWithConnectInfo` and make the new wrapper `ElicitComplete`,
axum::extract::connect_info::MockConnectInfo,Struct,axum::extract::connect_info,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::connect_info::MockConnectInfo` and make the new wrapper `ElicitComplete`,
axum::extract::connect_info::ResponseFuture,Struct,axum::extract::connect_info,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::connect_info::ResponseFuture` and make the new wrapper `ElicitComplete`,
axum::extract::matched_path::MatchedPath,Struct,axum::extract::matched_path,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::matched_path::MatchedPath` and make the new wrapper `ElicitComplete`,
axum::extract::multipart::Field,Struct,axum::extract::multipart,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::multipart::Field` and make the new wrapper `ElicitComplete`,
axum::extract::multipart::InvalidBoundary,Struct,axum::extract::multipart,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::multipart::InvalidBoundary` and make the new wrapper `ElicitComplete`,
axum::extract::multipart::Multipart,Struct,axum::extract::multipart,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::multipart::Multipart` and make the new wrapper `ElicitComplete`,
axum::extract::multipart::MultipartError,Struct,axum::extract::multipart,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::multipart::MultipartError` and make the new wrapper `ElicitComplete`,
axum::extract::multipart::MultipartRejection,Enum,axum::extract::multipart,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::multipart::MultipartRejection` and make the new wrapper `ElicitComplete`,
axum::extract::nested_path::NestedPath,Struct,axum::extract::nested_path,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::nested_path::NestedPath` and make the new wrapper `ElicitComplete`,
axum::extract::original_uri::OriginalUri,Struct,axum::extract::original_uri,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::original_uri::OriginalUri` and make the new wrapper `ElicitComplete`,
axum::extract::path::ErrorKind,Enum,axum::extract::path,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::path::ErrorKind` and make the new wrapper `ElicitComplete`,
axum::extract::path::FailedToDeserializePathParams,Struct,axum::extract::path,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::path::FailedToDeserializePathParams` and make the new wrapper `ElicitComplete`,
axum::extract::path::InvalidUtf8InPathParam,Struct,axum::extract::path,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::path::InvalidUtf8InPathParam` and make the new wrapper `ElicitComplete`,
axum::extract::path::Path,Struct,axum::extract::path,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::path::Path` and make the new wrapper `ElicitComplete`,
axum::extract::path::RawPathParams,Struct,axum::extract::path,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::path::RawPathParams` and make the new wrapper `ElicitComplete`,
axum::extract::path::RawPathParamsIter,Struct,axum::extract::path,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::path::RawPathParamsIter` and make the new wrapper `ElicitComplete`,
axum::extract::query::Query,Struct,axum::extract::query,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::query::Query` and make the new wrapper `ElicitComplete`,
axum::extract::raw_form::RawForm,Struct,axum::extract::raw_form,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::raw_form::RawForm` and make the new wrapper `ElicitComplete`,
axum::extract::raw_query::RawQuery,Struct,axum::extract::raw_query,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::raw_query::RawQuery` and make the new wrapper `ElicitComplete`,
axum::extract::rejection::ExtensionRejection,Enum,axum::extract::rejection,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::rejection::ExtensionRejection` and make the new wrapper `ElicitComplete`,
axum::extract::rejection::FailedToDeserializeForm,Struct,axum::extract::rejection,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::rejection::FailedToDeserializeForm` and make the new wrapper `ElicitComplete`,
axum::extract::rejection::FailedToDeserializeFormBody,Struct,axum::extract::rejection,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::rejection::FailedToDeserializeFormBody` and make the new wrapper `ElicitComplete`,
axum::extract::rejection::FailedToDeserializeQueryString,Struct,axum::extract::rejection,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `axum::extract::rejection::FailedToDeserializeQueryString` and make the new wrapper `ElicitComplete`,
