item_path,item_kind,status,shadow_item,drift_confidence,notes
bevy_a11y::AccessibilityNode,Struct,Missing,,,
bevy_a11y::AccessibilityPlugin,Struct,Missing,,,
bevy_a11y::AccessibilityRequested,Struct,Missing,,,
bevy_a11y::AccessibilitySystems,Enum,Missing,,,
bevy_a11y::ActionRequest,Struct,Missing,,,
bevy_a11y::ManageAccessibilityUpdates,Struct,Missing,,,
bevy_a11y::_::deserialize::__Field,Enum,Missing,,,
bevy_a11y::_::deserialize::__FieldVisitor,Struct,Missing,,,
bevy_a11y::_::deserialize::__Visitor,Struct,Missing,,,
bevy_a11y::_::deserialize::__Visitor,Struct,Missing,,,
bevy_a11y::_::deserialize::__Visitor,Struct,Missing,,,
bevy_a11y::_::deserialize::__Visitor,Struct,Missing,,,
bevy_animation::ActiveAnimation,Struct,Missing,,,
bevy_animation::AnimatedBy,Struct,Missing,,,
bevy_animation::AnimationClip,Struct,Missing,,,
bevy_animation::AnimationCurveEvaluators,Struct,Missing,,,
bevy_animation::AnimationEvaluationError,Enum,Missing,,,
bevy_animation::AnimationEvaluationState,Struct,Missing,,,
bevy_animation::AnimationEventData,Struct,Missing,,,
bevy_animation::AnimationEventFn,Struct,Missing,,,
bevy_animation::AnimationEventTarget,Enum,Missing,,,
bevy_animation::AnimationPlayer,Struct,Covered,elicit_bevy::animation::AnimationPlayer,,
bevy_animation::AnimationPlugin,Struct,Drifted,elicit_bevy::animation::AnimationPlayer,0.75,probable rename
bevy_animation::AnimationTargetId,Struct,Covered,elicit_bevy::animation::AnimationTargetId,,
bevy_animation::CurrentEvaluators,Struct,Missing,,,
bevy_animation::RepeatAnimation,Enum,Covered,elicit_bevy::animation::RepeatAnimation,,
bevy_animation::TimedAnimationEvent,Struct,Missing,,,
bevy_animation::TriggeredEvents,Struct,Missing,,,
bevy_animation::TriggeredEventsDir,Enum,Missing,,,
bevy_animation::TriggeredEventsIter,Enum,Missing,,,
bevy_animation::VariableCurve,Struct,Missing,,,
bevy_animation::_::deserialize::__Visitor,Struct,Missing,,,
bevy_animation::animatable::BlendInput,Struct,Missing,,,
bevy_animation::animation_curves::AnimatableCurve,Struct,Missing,,,
bevy_animation::animation_curves::AnimatableCurveEvaluator,Struct,Missing,,,
bevy_animation::animation_curves::AnimatableKeyframeCurve,Struct,Missing,,,
bevy_animation::animation_curves::AnimatedField,Struct,Missing,,,
bevy_animation::animation_curves::BasicAnimationCurveEvaluator,Struct,Missing,,,
bevy_animation::animation_curves::BasicAnimationCurveEvaluatorStackElement,Struct,Missing,,,
bevy_animation::animation_curves::EvaluatorId,Enum,Missing,,,
bevy_animation::animation_event::AnimationEventTrigger,Struct,Missing,,,
bevy_animation::gltf_curves::CubicKeyframeCurve,Struct,Missing,,,
bevy_animation::gltf_curves::CubicRotationCurve,Struct,Missing,,,
bevy_animation::gltf_curves::SteppedKeyframeCurve,Struct,Missing,,,
bevy_animation::gltf_curves::WideCubicKeyframeCurve,Struct,Missing,,,
bevy_animation::gltf_curves::WideKeyframeCurveError,Enum,Missing,,,
bevy_animation::gltf_curves::WideLinearKeyframeCurve,Struct,Missing,,,
bevy_animation::gltf_curves::WideSteppedKeyframeCurve,Struct,Missing,,,
bevy_animation::graph::AnimationGraph,Struct,Missing,,,
bevy_animation::graph::AnimationGraphAssetLoader,Struct,Missing,,,
bevy_animation::graph::AnimationGraphHandle,Struct,Missing,,,
bevy_animation::graph::AnimationGraphLoadError,Enum,Missing,,,
bevy_animation::graph::AnimationGraphNode,Struct,Missing,,,
bevy_animation::graph::AnimationGraphSaveError,Enum,Missing,,,
bevy_animation::graph::AnimationNodeType,Enum,Missing,,,
bevy_animation::graph::NonPathHandleError,Struct,Missing,,,
bevy_animation::graph::SerializedAnimationGraph,Struct,Missing,,,
bevy_animation::graph::SerializedAnimationGraphNode,Struct,Missing,,,
bevy_animation::graph::SerializedAnimationNodeType,Enum,Missing,,,
bevy_animation::graph::ThreadedAnimationGraph,Struct,Missing,,,
bevy_animation::graph::ThreadedAnimationGraphs,Struct,Missing,,,
bevy_animation::graph::_::deserialize::__Field,Enum,Missing,,,
bevy_animation::graph::_::deserialize::__Field,Enum,Missing,,,
bevy_animation::graph::_::deserialize::__Field,Enum,Missing,,,
bevy_animation::graph::_::deserialize::__FieldVisitor,Struct,Missing,,,
bevy_animation::graph::_::deserialize::__FieldVisitor,Struct,Missing,,,
bevy_animation::graph::_::deserialize::__FieldVisitor,Struct,Missing,,,
bevy_animation::graph::_::deserialize::__Visitor,Struct,Missing,,,
bevy_animation::graph::_::deserialize::__Visitor,Struct,Missing,,,
bevy_animation::graph::_::deserialize::__Visitor,Struct,Missing,,,
bevy_animation::morph::WeightsCurve,Struct,Missing,,,
bevy_animation::morph::WeightsCurveEvaluator,Struct,Missing,,,
bevy_animation::transition::AnimationTransition,Struct,Drifted,elicit_bevy::animation::AnimationTransitions,0.95,probable rename
bevy_animation::transition::AnimationTransitions,Struct,Covered,elicit_bevy::animation::AnimationTransitions,,
bevy_anti_alias::AntiAliasPlugin,Struct,Missing,,,
bevy_anti_alias::contrast_adaptive_sharpening::CasPipeline,Struct,Missing,,,
bevy_anti_alias::contrast_adaptive_sharpening::CasPipelineKey,Struct,Missing,,,
bevy_anti_alias::contrast_adaptive_sharpening::CasPipelineSpecializer,Struct,Missing,,,
bevy_anti_alias::contrast_adaptive_sharpening::CasPlugin,Struct,Missing,,,
bevy_anti_alias::contrast_adaptive_sharpening::CasUniform,Struct,Missing,,,
bevy_anti_alias::contrast_adaptive_sharpening::ContrastAdaptiveSharpening,Struct,Covered,elicit_bevy::anti_alias::ContrastAdaptiveSharpening,,
bevy_anti_alias::contrast_adaptive_sharpening::DenoiseCas,Struct,Missing,,,
bevy_anti_alias::contrast_adaptive_sharpening::ViewCasPipeline,Struct,Missing,,,
bevy_anti_alias::contrast_adaptive_sharpening::node::CasNode,Struct,Missing,,,
bevy_anti_alias::fxaa::CameraFxaaPipeline,Struct,Missing,,,
bevy_anti_alias::fxaa::Fxaa,Struct,Covered,elicit_bevy::anti_alias::Fxaa,,
bevy_anti_alias::fxaa::FxaaPipeline,Struct,Missing,,,
bevy_anti_alias::fxaa::FxaaPipelineKey,Struct,Missing,,,
bevy_anti_alias::fxaa::FxaaPlugin,Struct,Missing,,,
bevy_anti_alias::fxaa::Sensitivity,Enum,Covered,elicit_bevy::anti_alias::Sensitivity,,
bevy_anti_alias::fxaa::node::FxaaNode,Struct,Missing,,,
bevy_anti_alias::smaa::Smaa,Struct,Covered,elicit_bevy::anti_alias::Smaa,,
bevy_anti_alias::smaa::SmaaBindGroups,Struct,Missing,,,
bevy_anti_alias::smaa::SmaaBlendingWeightCalculationPipeline,Struct,Missing,,,
bevy_anti_alias::smaa::SmaaEdgeDetectionPipeline,Struct,Missing,,,
bevy_anti_alias::smaa::SmaaInfoUniform,Struct,Missing,,,
bevy_anti_alias::smaa::SmaaInfoUniformBuffer,Struct,Missing,,,
bevy_anti_alias::smaa::SmaaInfoUniformOffset,Struct,Missing,,,
bevy_anti_alias::smaa::SmaaLuts,Struct,Missing,,,
bevy_anti_alias::smaa::SmaaNeighborhoodBlendingPipeline,Struct,Missing,,,
bevy_anti_alias::smaa::SmaaNeighborhoodBlendingPipelineKey,Struct,Missing,,,
bevy_anti_alias::smaa::SmaaNode,Struct,Missing,,,
bevy_anti_alias::smaa::SmaaPipelines,Struct,Missing,,,
bevy_anti_alias::smaa::SmaaPlugin,Struct,Missing,,,
bevy_anti_alias::smaa::SmaaPreset,Enum,Covered,elicit_bevy::anti_alias::SmaaPreset,,
bevy_anti_alias::smaa::SmaaSpecializedRenderPipelines,Struct,Missing,,,
bevy_anti_alias::smaa::SmaaTextures,Struct,Missing,,,
bevy_anti_alias::smaa::ViewSmaaPipelines,Struct,Missing,,,
bevy_anti_alias::taa::TaaPipeline,Struct,Missing,,,
bevy_anti_alias::taa::TaaPipelineKey,Struct,Missing,,,
bevy_anti_alias::taa::TaaPipelineSpecializer,Struct,Missing,,,
bevy_anti_alias::taa::TemporalAntiAliasHistoryTextures,Struct,Missing,,,
bevy_anti_alias::taa::TemporalAntiAliasNode,Struct,Missing,,,
bevy_anti_alias::taa::TemporalAntiAliasPipelineId,Struct,Missing,,,
bevy_anti_alias::taa::TemporalAntiAliasPlugin,Struct,Missing,,,
bevy_anti_alias::taa::TemporalAntiAliasing,Struct,Missing,,,
bevy_app::app::App,Struct,Missing,,,
bevy_app::app::AppError,Enum,Missing,,,
bevy_app::app::AppExit,Enum,Covered,elicit_bevy::app::AppExit,,
bevy_app::app::HokeyPokey,Struct,Missing,,,
bevy_app::hotpatch::HotPatchPlugin,Struct,Missing,,,
bevy_app::main_schedule::AnimationSystems,Struct,Missing,,,
bevy_app::main_schedule::First,Struct,Missing,,,
bevy_app::main_schedule::FixedFirst,Struct,Missing,,,
bevy_app::main_schedule::FixedLast,Struct,Missing,,,
bevy_app::main_schedule::FixedMain,Struct,Missing,,,
bevy_app::main_schedule::FixedMainScheduleOrder,Struct,Missing,,,
bevy_app::main_schedule::FixedPostUpdate,Struct,Missing,,,
bevy_app::main_schedule::FixedPreUpdate,Struct,Missing,,,
bevy_app::main_schedule::FixedUpdate,Struct,Missing,,,
bevy_app::main_schedule::Last,Struct,Missing,,,
bevy_app::main_schedule::Main,Struct,Missing,,,
bevy_app::main_schedule::MainScheduleOrder,Struct,Missing,,,
bevy_app::main_schedule::MainSchedulePlugin,Struct,Missing,,,
bevy_app::main_schedule::PostStartup,Struct,Missing,,,
bevy_app::main_schedule::PostUpdate,Struct,Missing,,,
bevy_app::main_schedule::PreStartup,Struct,Missing,,,
bevy_app::main_schedule::PreUpdate,Struct,Missing,,,
bevy_app::main_schedule::RunFixedMainLoop,Struct,Missing,,,
bevy_app::main_schedule::RunFixedMainLoopSystems,Enum,Missing,,,
bevy_app::main_schedule::SpawnScene,Struct,Missing,,,
bevy_app::main_schedule::Startup,Struct,Missing,,,
bevy_app::main_schedule::Update,Struct,Missing,,,
bevy_app::panic_handler::PanicHandlerPlugin,Struct,Missing,,,
bevy_app::plugin::PlaceholderPlugin,Struct,Missing,,,
bevy_app::plugin::PluginsState,Enum,Missing,,,
bevy_app::plugin_group::NoopPluginGroup,Struct,Missing,,,
bevy_app::plugin_group::PluginGroupBuilder,Struct,Missing,,,
bevy_app::propagate::HierarchyPropagatePlugin,Struct,Missing,,,
bevy_app::propagate::Inherited,Struct,Missing,,,
bevy_app::propagate::Propagate,Struct,Missing,,,
bevy_app::propagate::PropagateOver,Struct,Missing,,,
bevy_app::propagate::PropagateSet,Struct,Missing,,,
bevy_app::propagate::PropagateStop,Struct,Missing,,,
bevy_app::schedule_runner::RunMode,Enum,Missing,,,
bevy_app::schedule_runner::ScheduleRunnerPlugin,Struct,Missing,,,
bevy_app::sub_app::SubApp,Struct,Missing,,,
bevy_app::sub_app::SubApps,Struct,Missing,,,
bevy_app::task_pool_plugin::TaskPoolOptions,Struct,Missing,,,
bevy_app::task_pool_plugin::TaskPoolPlugin,Struct,Missing,,,
bevy_app::task_pool_plugin::TaskPoolThreadAssignmentPolicy,Struct,Missing,,,
bevy_app::terminal_ctrl_c_handler::TerminalCtrlCHandlerPlugin,Struct,Missing,,,
bevy_asset::AssetEventSystems,Struct,Missing,,,
bevy_asset::AssetMetaCheck,Enum,Missing,,,
bevy_asset::AssetMode,Enum,Missing,,,
bevy_asset::AssetPlugin,Struct,Missing,,,
bevy_asset::AssetTrackingSystems,Struct,Missing,,,
bevy_asset::UnapprovedPathMode,Enum,Missing,,,
bevy_asset::asset_changed::AssetChangeCheck,Struct,Missing,,,
bevy_asset::asset_changed::AssetChanged,Struct,Missing,,,
bevy_asset::asset_changed::AssetChangedFetch,Struct,Missing,,,
bevy_asset::asset_changed::AssetChangedState,Struct,Missing,,,
bevy_asset::asset_changed::AssetChanges,Struct,Missing,,,
bevy_asset::assets::AssetIndex,Struct,Missing,,,
bevy_asset::assets::AssetIndexAllocator,Struct,Missing,,,
bevy_asset::assets::Assets,Struct,Missing,,,
bevy_asset::assets::AssetsMutIterator,Struct,Missing,,,
bevy_asset::assets::DenseAssetStorage,Struct,Missing,,,
bevy_asset::assets::Entry,Enum,Missing,,,
bevy_asset::assets::InvalidGenerationError,Enum,Missing,,,
bevy_asset::assets::LoadedUntypedAsset,Struct,Missing,,,
bevy_asset::assets::_::deserialize::__Field,Enum,Missing,,,
bevy_asset::assets::_::deserialize::__FieldVisitor,Struct,Missing,,,
bevy_asset::assets::_::deserialize::__Visitor,Struct,Missing,,,
bevy_asset::event::AssetEvent,Enum,Missing,,,
bevy_asset::event::AssetLoadFailedEvent,Struct,Missing,,,
bevy_asset::event::UntypedAssetLoadFailedEvent,Struct,Missing,,,
bevy_asset::folder::LoadedFolder,Struct,Missing,,,
bevy_asset::handle::AssetHandleProvider,Struct,Missing,,,
bevy_asset::handle::DropEvent,Struct,Missing,,,
bevy_asset::handle::Handle,Enum,Missing,,,
bevy_asset::handle::StrongHandle,Struct,Missing,,,
bevy_asset::handle::UntypedAssetConversionError,Enum,Missing,,,
bevy_asset::handle::UntypedHandle,Enum,Missing,,,
bevy_asset::id::AssetId,Enum,Missing,,,
bevy_asset::id::ErasedAssetIndex,Struct,Missing,,,
bevy_asset::id::InternalAssetId,Enum,Missing,,,
bevy_asset::id::UntypedAssetId,Enum,Missing,,,
bevy_asset::id::UntypedAssetIdConversionError,Enum,Missing,,,
bevy_asset::id::UuidNotSupportedError,Struct,Missing,,,
bevy_asset::id::_::deserialize::__Field,Enum,Missing,,,
bevy_asset::id::_::deserialize::__FieldVisitor,Struct,Missing,,,
bevy_asset::id::_::deserialize::__Visitor,Struct,Missing,,,
bevy_asset::id::_::deserialize::visit_enum::__Field,Enum,Missing,,,
bevy_asset::id::_::deserialize::visit_enum::__Field,Enum,Missing,,,
bevy_asset::id::_::deserialize::visit_enum::__FieldVisitor,Struct,Missing,,,
bevy_asset::id::_::deserialize::visit_enum::__FieldVisitor,Struct,Missing,,,
bevy_asset::id::_::deserialize::visit_enum::__Visitor,Struct,Missing,,,
bevy_asset::id::_::deserialize::visit_enum::__Visitor,Struct,Missing,,,
bevy_asset::io::AssetReaderError,Enum,Missing,,,
bevy_asset::io::AssetSourceEvent,Enum,Missing,,,
bevy_asset::io::AssetWriterError,Enum,Missing,,,
bevy_asset::io::ReaderNotSeekableError,Struct,Missing,,,
bevy_asset::io::SliceReader,Struct,Missing,,,
bevy_asset::io::VecReader,Struct,Missing,,,
bevy_asset::io::embedded::EmbeddedAssetRegistry,Struct,Missing,,,
bevy_asset::io::embedded::embedded_watcher::EmbeddedWatcher,Struct,Missing,,,
bevy_asset::io::file::FileAssetReader,Struct,Missing,,,
bevy_asset::io::file::FileAssetWriter,Struct,Missing,,,
bevy_asset::io::file::file_asset::GuardedFile,Struct,Missing,,,
bevy_asset::io::file::file_watcher::FileWatcher,Struct,Missing,,,
bevy_asset::io::memory::Data,Struct,Missing,,,
bevy_asset::io::memory::DataReader,Struct,Missing,,,
bevy_asset::io::memory::DataWriter,Struct,Missing,,,
bevy_asset::io::memory::Dir,Struct,Drifted,elicit_bevy::math::dir::Dir2,0.75,probable rename
bevy_asset::io::memory::DirInternal,Struct,Missing,,,
bevy_asset::io::memory::DirStream,Struct,Missing,,,
bevy_asset::io::memory::MemoryAssetReader,Struct,Missing,,,
bevy_asset::io::memory::MemoryAssetWriter,Struct,Missing,,,
bevy_asset::io::memory::Value,Enum,Missing,,,
bevy_asset::io::processor_gated::ProcessorGatedReader,Struct,Missing,,,
bevy_asset::io::processor_gated::TransactionLockedReader,Struct,Missing,,,
bevy_asset::io::source::AssetSourceBuilder,Struct,Missing,,,
bevy_asset::io::source::AssetSourceBuilders,Struct,Missing,,,
bevy_asset::io::source::AssetSourceId,Enum,Missing,,,
bevy_asset::io::source::MissingAssetSourceError,Struct,Missing,,,
bevy_asset::io::source::MissingAssetWriterError,Struct,Missing,,,
bevy_asset::io::source::MissingProcessedAssetReaderError,Struct,Missing,,,
bevy_asset::io::source::MissingProcessedAssetWriterError,Struct,Missing,,,
bevy_asset::io::web::WebAssetPlugin,Struct,Missing,,,
bevy_asset::io::web::WebAssetReader,Enum,Missing,,,
bevy_asset::loader::DeserializeMetaError,Enum,Missing,,,
bevy_asset::loader::ErasedLoadedAsset,Struct,Missing,,,
bevy_asset::loader::LoadContext,Struct,Missing,,,
bevy_asset::loader::LoadDirectError,Enum,Missing,,,
bevy_asset::loader::LoadedAsset,Struct,Missing,,,
bevy_asset::loader::ReadAssetBytesError,Enum,Missing,,,
bevy_asset::meta::AssetAction,Enum,Missing,,,
bevy_asset::meta::AssetActionMinimal,Enum,Missing,,,
bevy_asset::meta::AssetMeta,Struct,Missing,,,
bevy_asset::meta::AssetMetaMinimal,Struct,Missing,,,
