item_path,item_kind,status,shadow_item,drift_confidence,shadow_elicit_impl,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,notes
chrono::Duration,TypeAlias,Missing,,,,,,,
chrono::OutOfRange,Struct,Missing,,,,,,,
chrono::date::Date,Struct,Missing,,,,,,,
chrono::date::MAX_DATE,Constant,Missing,,,,,,,
chrono::date::MIN_DATE,Constant,Missing,,,,,,,
chrono::datetime::DateTime,Struct,Missing,,,,,,,
chrono::datetime::MAX_DATETIME,Constant,Missing,,,,,,,
chrono::datetime::MIN_DATETIME,Constant,Missing,,,,,,,
chrono::datetime::serde::ts_microseconds::deserialize,Function,Missing,,,,,,,
chrono::datetime::serde::ts_microseconds::serialize,Function,Missing,,,,,,,
chrono::datetime::serde::ts_microseconds_option::deserialize,Function,Missing,,,,,,,
chrono::datetime::serde::ts_microseconds_option::serialize,Function,Missing,,,,,,,
chrono::datetime::serde::ts_milliseconds::deserialize,Function,Missing,,,,,,,
chrono::datetime::serde::ts_milliseconds::serialize,Function,Missing,,,,,,,
chrono::datetime::serde::ts_milliseconds_option::deserialize,Function,Missing,,,,,,,
chrono::datetime::serde::ts_milliseconds_option::serialize,Function,Missing,,,,,,,
chrono::datetime::serde::ts_nanoseconds::deserialize,Function,Missing,,,,,,,
chrono::datetime::serde::ts_nanoseconds::serialize,Function,Missing,,,,,,,
chrono::datetime::serde::ts_nanoseconds_option::deserialize,Function,Missing,,,,,,,
chrono::datetime::serde::ts_nanoseconds_option::serialize,Function,Missing,,,,,,,
chrono::datetime::serde::ts_seconds::deserialize,Function,Missing,,,,,,,
chrono::datetime::serde::ts_seconds::serialize,Function,Missing,,,,,,,
chrono::datetime::serde::ts_seconds_option::deserialize,Function,Missing,,,,,,,
chrono::datetime::serde::ts_seconds_option::serialize,Function,Missing,,,,,,,
chrono::format::Colons,Enum,Missing,,,,,,,
chrono::format::Fixed,Enum,Missing,,,,,,,
chrono::format::InternalFixed,Struct,Missing,,,,,,,
chrono::format::InternalNumeric,Struct,Missing,,,,,,,
chrono::format::Item,Enum,Missing,,,,,,,
chrono::format::Numeric,Enum,Missing,,,,,,,
chrono::format::OffsetFormat,Struct,Missing,,,,,,,
chrono::format::OffsetPrecision,Enum,Missing,,,,,,,
chrono::format::Pad,Enum,Missing,,,,,,,
chrono::format::ParseError,Struct,Missing,,,,,,,
chrono::format::ParseErrorKind,Enum,Missing,,,,,,,
chrono::format::ParseResult,TypeAlias,Missing,,,,,,,
chrono::format::formatting::DelayedFormat,Struct,Missing,,,,,,,
chrono::format::formatting::SecondsFormat,Enum,Missing,,,,,,,
chrono::format::formatting::format,Function,Missing,,,,,,,
chrono::format::formatting::format_item,Function,Missing,,,,,,,
chrono::format::parse::parse,Function,Missing,,,,,,,
