item_path,item_kind,status,shadow_item,drift_confidence,notes
csv::QuoteStyle,Enum,Missing,,,
csv::Terminator,Enum,Missing,,,
csv::Trim,Enum,Missing,,,
csv::byte_record::ByteRecord,Struct,Missing,,,
csv::byte_record::ByteRecordIter,Struct,Missing,,,
csv::byte_record::Position,Struct,Missing,,,
csv::deserializer::DeserializeError,Struct,Missing,,,
csv::deserializer::DeserializeErrorKind,Enum,Missing,,,
csv::error::Error,Struct,Missing,,,
csv::error::ErrorKind,Enum,Missing,,,
csv::error::FromUtf8Error,Struct,Missing,,,
csv::error::IntoInnerError,Struct,Missing,,,
csv::error::Result,TypeAlias,Missing,,,
csv::error::Utf8Error,Struct,Missing,,,
csv::reader::ByteRecordsIntoIter,Struct,Missing,,,
csv::reader::ByteRecordsIter,Struct,Missing,,,
csv::reader::DeserializeRecordsIntoIter,Struct,Missing,,,
csv::reader::DeserializeRecordsIter,Struct,Missing,,,
csv::reader::Reader,Struct,Missing,,,
csv::reader::ReaderBuilder,Struct,Missing,,,
csv::reader::StringRecordsIntoIter,Struct,Missing,,,
csv::reader::StringRecordsIter,Struct,Missing,,,
csv::string_record::StringRecord,Struct,Missing,,,
csv::string_record::StringRecordIter,Struct,Missing,,,
csv::writer::Writer,Struct,Missing,,,
csv::writer::WriterBuilder,Struct,Missing,,,
csv_core::QuoteStyle,Enum,Missing,,,
csv_core::Terminator,Enum,Missing,,,
csv_core::reader::Dfa,Struct,Missing,,,
csv_core::reader::DfaClasses,Struct,Missing,,,
csv_core::reader::DfaState,Struct,Missing,,,
csv_core::reader::NfaInputAction,Enum,Missing,,,
csv_core::reader::NfaState,Enum,Missing,,,
csv_core::reader::ReadFieldNoCopyResult,Enum,Missing,,,
csv_core::reader::ReadFieldResult,Enum,Missing,,,
csv_core::reader::ReadRecordNoCopyResult,Enum,Missing,,,
csv_core::reader::ReadRecordResult,Enum,Missing,,,
csv_core::reader::Reader,Struct,Missing,,,
csv_core::reader::ReaderBuilder,Struct,Missing,,,
csv_core::writer::WriteResult,Enum,Missing,,,
csv_core::writer::Writer,Struct,Missing,,,
csv_core::writer::WriterBuilder,Struct,Missing,,,
csv_core::writer::WriterState,Struct,Missing,,,
elicit_csv::plugin::CsvCtx,Struct,Extra,,,"in shadow, not in target"
elicit_csv::plugin::CsvPlugin,Struct,Extra,,,"in shadow, not in target"
