item_path,item_kind,api_family,status,coverage_kind,primary_gap_kind,shadow_item,drift_confidence,shadow_elicit_impl,verification_gap,verification_ready,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,action,notes
accesskit::Action,Enum,accesskit::Action,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `accesskit::Action` and make the new wrapper `ElicitComplete`,
accesskit::ActionRequest,Struct,accesskit::ActionRequest,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `accesskit::ActionRequest` and make the new wrapper `ElicitComplete`,
accesskit::Role,Enum,accesskit::Role,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `accesskit::Role` and make the new wrapper `ElicitComplete`,
ahash::HashMap,TypeAlias,ahash::HashMap,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `ahash::HashMap` and make the new wrapper `ElicitComplete`,
bitflags::iter::Iter,Struct,bitflags::iter::Iter,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `bitflags::iter::Iter` and make the new wrapper `ElicitComplete`,
bitflags::iter::IterNames,Struct,bitflags::iter::IterNames,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `bitflags::iter::IterNames` and make the new wrapper `ElicitComplete`,
ecolor::color32::Color32,Struct,ecolor::color32::Color32,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `ecolor::color32::Color32` and make the new wrapper `ElicitComplete`,
ecolor::hsva::Hsva,Struct,ecolor::hsva::Hsva,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `ecolor::hsva::Hsva` and make the new wrapper `ElicitComplete`,
ecolor::rgba::Rgba,Struct,ecolor::rgba::Rgba,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `ecolor::rgba::Rgba` and make the new wrapper `ElicitComplete`,
egui::Rounding,TypeAlias,egui::Rounding,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::Rounding` and make the new wrapper `ElicitComplete`,
egui::__run_test_ctx,Function,egui::__run_test_ctx,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `egui::__run_test_ctx` so the full public API surface is represented,
egui::__run_test_ui,Function,egui::__run_test_ui,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `egui::__run_test_ui` so the full public API surface is represented,
egui::accesskit_root_id,Function,egui::accesskit_root_id,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `egui::accesskit_root_id` so the full public API surface is represented,
egui::containers::collapsing_header::CollapsingHeader,Struct,egui::containers::collapsing_header,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::collapsing_header::CollapsingHeader` and make the new wrapper `ElicitComplete`,
egui::containers::collapsing_header::CollapsingResponse,Struct,egui::containers::collapsing_header,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::collapsing_header::CollapsingResponse` and make the new wrapper `ElicitComplete`,
egui::containers::collapsing_header::CollapsingState,Struct,egui::containers::collapsing_header,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::collapsing_header::CollapsingState` and make the new wrapper `ElicitComplete`,
egui::containers::collapsing_header::HeaderResponse,Struct,egui::containers::collapsing_header,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::collapsing_header::HeaderResponse` and make the new wrapper `ElicitComplete`,
egui::containers::collapsing_header::IconPainter,TypeAlias,egui::containers::collapsing_header,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::collapsing_header::IconPainter` and make the new wrapper `ElicitComplete`,
egui::containers::collapsing_header::paint_default_icon,Function,egui::containers::collapsing_header,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `egui::containers::collapsing_header::paint_default_icon` so the full public API surface is represented,
egui::containers::frame::Frame,Struct,egui::containers::frame,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::frame::Frame` and make the new wrapper `ElicitComplete`,
egui::containers::frame::Prepared,Struct,egui::containers::frame,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::frame::Prepared` and make the new wrapper `ElicitComplete`,
egui::containers::menu::Bar,TypeAlias,egui::containers::menu,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::menu::Bar` and make the new wrapper `ElicitComplete`,
egui::containers::menu::MenuBar,Struct,egui::containers::menu,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::menu::MenuBar` and make the new wrapper `ElicitComplete`,
egui::containers::menu::MenuButton,Struct,egui::containers::menu,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::menu::MenuButton` and make the new wrapper `ElicitComplete`,
egui::containers::menu::MenuConfig,Struct,egui::containers::menu,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::menu::MenuConfig` and make the new wrapper `ElicitComplete`,
egui::containers::menu::MenuState,Struct,egui::containers::menu,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::menu::MenuState` and make the new wrapper `ElicitComplete`,
egui::containers::menu::SubMenu,Struct,egui::containers::menu,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::menu::SubMenu` and make the new wrapper `ElicitComplete`,
egui::containers::menu::SubMenuButton,Struct,egui::containers::menu,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::menu::SubMenuButton` and make the new wrapper `ElicitComplete`,
egui::containers::menu::find_menu_root,Function,egui::containers::menu,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `egui::containers::menu::find_menu_root` so the full public API surface is represented,
egui::containers::menu::is_in_menu,Function,egui::containers::menu,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `egui::containers::menu::is_in_menu` so the full public API surface is represented,
egui::containers::menu::menu_style,Function,egui::containers::menu,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `egui::containers::menu::menu_style` so the full public API surface is represented,
egui::containers::modal::Modal,Struct,egui::containers::modal,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::modal::Modal` and make the new wrapper `ElicitComplete`,
egui::containers::modal::ModalResponse,Struct,egui::containers::modal,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::modal::ModalResponse` and make the new wrapper `ElicitComplete`,
egui::containers::old_popup::AboveOrBelow,Enum,egui::containers::old_popup,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::old_popup::AboveOrBelow` and make the new wrapper `ElicitComplete`,
egui::containers::old_popup::popup_above_or_below_widget,Function,egui::containers::old_popup,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `egui::containers::old_popup::popup_above_or_below_widget` so the full public API surface is represented,
egui::containers::old_popup::popup_below_widget,Function,egui::containers::old_popup,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `egui::containers::old_popup::popup_below_widget` so the full public API surface is represented,
egui::containers::old_popup::show_tooltip,Function,egui::containers::old_popup,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `egui::containers::old_popup::show_tooltip` so the full public API surface is represented,
egui::containers::old_popup::show_tooltip_at,Function,egui::containers::old_popup,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `egui::containers::old_popup::show_tooltip_at` so the full public API surface is represented,
egui::containers::old_popup::show_tooltip_at_pointer,Function,egui::containers::old_popup,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `egui::containers::old_popup::show_tooltip_at_pointer` so the full public API surface is represented,
egui::containers::old_popup::show_tooltip_for,Function,egui::containers::old_popup,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `egui::containers::old_popup::show_tooltip_for` so the full public API surface is represented,
egui::containers::old_popup::show_tooltip_text,Function,egui::containers::old_popup,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `egui::containers::old_popup::show_tooltip_text` so the full public API surface is represented,
egui::containers::old_popup::was_tooltip_open_last_frame,Function,egui::containers::old_popup,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `egui::containers::old_popup::was_tooltip_open_last_frame` so the full public API surface is represented,
egui::containers::panel::CentralPanel,Struct,egui::containers::panel,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::panel::CentralPanel` and make the new wrapper `ElicitComplete`,
egui::containers::panel::Panel,Struct,egui::containers::panel,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::panel::Panel` and make the new wrapper `ElicitComplete`,
egui::containers::panel::PanelState,Struct,egui::containers::panel,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::panel::PanelState` and make the new wrapper `ElicitComplete`,
egui::containers::panel::SidePanel,TypeAlias,egui::containers::panel,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::panel::SidePanel` and make the new wrapper `ElicitComplete`,
egui::containers::panel::TopBottomPanel,TypeAlias,egui::containers::panel,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::panel::TopBottomPanel` and make the new wrapper `ElicitComplete`,
egui::containers::scroll_area::ScrollArea,Struct,egui::containers::scroll_area,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::scroll_area::ScrollArea` and make the new wrapper `ElicitComplete`,
egui::containers::scroll_area::ScrollAreaOutput,Struct,egui::containers::scroll_area,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::scroll_area::ScrollAreaOutput` and make the new wrapper `ElicitComplete`,
egui::containers::scroll_area::ScrollBarVisibility,Enum,egui::containers::scroll_area,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::scroll_area::ScrollBarVisibility` and make the new wrapper `ElicitComplete`,
egui::containers::scroll_area::ScrollSource,Struct,egui::containers::scroll_area,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::scroll_area::ScrollSource` and make the new wrapper `ElicitComplete`,
egui::containers::scroll_area::State,Struct,egui::containers::scroll_area,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::containers::scroll_area::State` and make the new wrapper `ElicitComplete`,
egui::debug_text::DebugTextPlugin,Struct,egui::debug_text::DebugTextPlugin,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `egui::debug_text::DebugTextPlugin` and make the new wrapper `ElicitComplete`,
