item_path,item_kind,api_family,status,coverage_kind,primary_gap_kind,shadow_item,drift_confidence,shadow_elicit_impl,verification_gap,verification_ready,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,action,notes
geo_types::CoordFloat,Trait,geo_types::CoordFloat,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `geo_types::CoordFloat` so the full public API surface is represented,
geo_types::CoordNum,Trait,geo_types::CoordNum,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `geo_types::CoordNum` so the full public API surface is represented,
geo_types::CoordinateType,Trait,geo_types::CoordinateType,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `geo_types::CoordinateType` so the full public API surface is represented,
geo_types::coord,Macro,geo_types::coord,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `geo_types::coord` so the full public API surface is represented,
geo_types::error::Error,Enum,geo_types::error::Error,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `geo_types::error::Error` and make the new wrapper `ElicitComplete`,
geo_types::geometry::coord::Coordinate,TypeAlias,geo_types::geometry::coord,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `geo_types::geometry::coord::Coordinate` and make the new wrapper `ElicitComplete`,
geo_types::geometry::geometry_collection::IntoIteratorHelper,Struct,geo_types::geometry::geometry_collection,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `geo_types::geometry::geometry_collection::IntoIteratorHelper` and make the new wrapper `ElicitComplete`,
geo_types::geometry::geometry_collection::IterHelper,Struct,geo_types::geometry::geometry_collection,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `geo_types::geometry::geometry_collection::IterHelper` and make the new wrapper `ElicitComplete`,
geo_types::geometry::geometry_collection::IterMutHelper,Struct,geo_types::geometry::geometry_collection,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `geo_types::geometry::geometry_collection::IterMutHelper` and make the new wrapper `ElicitComplete`,
geo_types::geometry::line_string::CoordinatesIter,Struct,geo_types::geometry::line_string,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `geo_types::geometry::line_string::CoordinatesIter` and make the new wrapper `ElicitComplete`,
geo_types::geometry::line_string::PointsIter,Struct,geo_types::geometry::line_string,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `geo_types::geometry::line_string::PointsIter` and make the new wrapper `ElicitComplete`,
geo_types::geometry::rect::InvalidRectCoordinatesError,Struct,geo_types::geometry::rect,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `geo_types::geometry::rect::InvalidRectCoordinatesError` and make the new wrapper `ElicitComplete`,
geo_types::line_string,Macro,geo_types::line_string,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `geo_types::line_string` so the full public API surface is represented,
geo_types::point,Macro,geo_types::point,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `geo_types::point` so the full public API surface is represented,
geo_types::polygon,Macro,geo_types::polygon,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `geo_types::polygon` so the full public API surface is represented,
geo_types::wkt,Macro,geo_types::wkt,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `geo_types::wkt` so the full public API surface is represented,
rmcp::model::ErrorData,Struct,rmcp::model::ErrorData,Extra,PossiblyStale,PossiblyStale,,,,false,false,,,,"Audit `rmcp::model::ErrorData`: remove it if stale, or rename/remap it to an upstream public item","in shadow, not in target"
rmcp::model::tool::Tool,Struct,rmcp::model::tool,Extra,PossiblyStale,PossiblyStale,,,,false,false,,,,"Audit `rmcp::model::tool::Tool`: remove it if stale, or rename/remap it to an upstream public item","in shadow, not in target"
elicit_geo_types::workflow::collections_plugin::GeoTypesCollectionsPlugin,Struct,elicit_geo_types::workflow::collections_plugin,Extra,InfrastructureExtra,InfrastructureExtra,,,,false,false,,,,Shadow-only infrastructure item; keep unless it should instead map to an upstream API item,"in shadow, not in target"
