item_path,item_kind,status,shadow_item,drift_confidence,shadow_elicit_impl,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,notes
elicit_geo::workflow::boolean_ops_plugin::BooleanOpApplied,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::GeoBooleanOpsPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::MultipolygonDifferenceParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::MultipolygonIntersectionParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::MultipolygonUnionParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::MultipolygonXorParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::PolygonDifferenceParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::PolygonIntersectionParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::PolygonUnionParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::PolygonXorParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::multipolygon_difference_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::multipolygon_intersection_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::multipolygon_union_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::multipolygon_xor_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::polygon_difference_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::polygon_intersection_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::polygon_union_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::boolean_ops_plugin::polygon_xor_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::GeoCalculationsPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::GeometricCalculation,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::LinestringBoundingRectParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::LinestringCentroidParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::LinestringConvexHullParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::MultipointBoundingRectParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::MultipointCentroidParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::MultipointConvexHullParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::MultipolygonCentroidParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::PolygonBoundingRectParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::PolygonCentroidParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::PolygonConvexHullParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::linestring_bounding_rect_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::linestring_centroid_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::linestring_convex_hull_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::multipoint_bounding_rect_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::multipoint_centroid_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::multipoint_convex_hull_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::multipolygon_centroid_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::polygon_bounding_rect_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::polygon_centroid_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::calculations_plugin::polygon_convex_hull_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::geodesic_plugin::GeoGeodesicPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::geodesic_plugin::GeodesicBearingParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::geodesic_plugin::GeodesicCalculated,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::geodesic_plugin::GeodesicDestinationParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::geodesic_plugin::GeodesicDistanceParams,Struct,Extra,,,,,,,"in shadow, not in target"
