item_path,item_kind,api_family,status,coverage_kind,primary_gap_kind,shadow_item,drift_confidence,shadow_elicit_impl,verification_gap,verification_ready,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,action,notes
geo_types::CoordFloat,Trait,geo_types::CoordFloat,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `geo_types::CoordFloat` so the full public API surface is represented,
geo_types::geometry::geometry_collection::GeometryCollection,Struct,geo_types::geometry::geometry_collection,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `geo_types::geometry::geometry_collection::GeometryCollection` and make the new wrapper `ElicitComplete`,
geojson::Bbox,TypeAlias,geojson::Bbox,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `geojson::Bbox` and make the new wrapper `ElicitComplete`,
geojson::LineStringType,TypeAlias,geojson::LineStringType,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `geojson::LineStringType` and make the new wrapper `ElicitComplete`,
geojson::PointType,TypeAlias,geojson::PointType,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `geojson::PointType` and make the new wrapper `ElicitComplete`,
geojson::PolygonType,TypeAlias,geojson::PolygonType,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `geojson::PolygonType` and make the new wrapper `ElicitComplete`,
geojson::de::deserialize_feature_collection,Function,geojson::de::deserialize_feature_collection,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `geojson::de::deserialize_feature_collection` so the full public API surface is represented,
geojson::de::deserialize_feature_collection_str_to_vec,Function,geojson::de::deserialize_feature_collection_str_to_vec,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `geojson::de::deserialize_feature_collection_str_to_vec` so the full public API surface is represented,
geojson::de::deserialize_feature_collection_to_vec,Function,geojson::de::deserialize_feature_collection_to_vec,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `geojson::de::deserialize_feature_collection_to_vec` so the full public API surface is represented,
geojson::de::deserialize_features_from_feature_collection,Function,geojson::de::deserialize_features_from_feature_collection,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `geojson::de::deserialize_features_from_feature_collection` so the full public API surface is represented,
