item_path,item_kind,api_family,status,coverage_kind,primary_gap_kind,shadow_item,drift_confidence,shadow_elicit_impl,verification_gap,verification_ready,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,action,notes
georaster::geo::Coordinate,Struct,georaster::geo::Coordinate,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `georaster::geo::Coordinate` and make the new wrapper `ElicitComplete`,
georaster::geotiff::GeoTiffReader,Struct,georaster::geotiff::GeoTiffReader,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `georaster::geotiff::GeoTiffReader` and make the new wrapper `ElicitComplete`,
georaster::geotiff::ImageInfo,Struct,georaster::geotiff::ImageInfo,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `georaster::geotiff::ImageInfo` and make the new wrapper `ElicitComplete`,
georaster::geotiff::Pixels,Struct,georaster::geotiff::Pixels,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `georaster::geotiff::Pixels` and make the new wrapper `ElicitComplete`,
georaster::geotiff::RasterValue,Enum,georaster::geotiff::RasterValue,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `georaster::geotiff::RasterValue` and make the new wrapper `ElicitComplete`,
tiff::decoder::Decoder,Struct,tiff::decoder::Decoder,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `tiff::decoder::Decoder` and make the new wrapper `ElicitComplete`,
tiff::error::TiffResult,TypeAlias,tiff::error::TiffResult,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `tiff::error::TiffResult` and make the new wrapper `ElicitComplete`,
elicitation::error::ElicitError,Struct,elicitation::error::ElicitError,Extra,PossiblyStale,PossiblyStale,,,,false,false,,,,"Audit `elicitation::error::ElicitError`: remove it if stale, or rename/remap it to an upstream public item","in shadow, not in target"
rmcp::model::tool::Tool,Struct,rmcp::model::tool,Extra,PossiblyStale,PossiblyStale,,,,false,false,,,,"Audit `rmcp::model::tool::Tool`: remove it if stale, or rename/remap it to an upstream public item","in shadow, not in target"
rmcp::service::Peer,Struct,rmcp::service::Peer,Extra,PossiblyStale,PossiblyStale,,,,false,false,,,,"Audit `rmcp::service::Peer`: remove it if stale, or rename/remap it to an upstream public item","in shadow, not in target"
rmcp::service::server::RoleServer,Struct,rmcp::service::server,Extra,PossiblyStale,PossiblyStale,,,,false,false,,,,"Audit `rmcp::service::server::RoleServer`: remove it if stale, or rename/remap it to an upstream public item","in shadow, not in target"
