item_path,item_kind,status,shadow_item,drift_confidence,shadow_elicit_impl,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,notes
elicit_jiff::timestamp::InTzParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::timestamp::_elicit_compat_InTzParams::InTzParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::AssertFutureParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::ComputeSpanParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::ConvertTzParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::ConvertedZonedProof,TypeAlias,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::ConvertedZonedState,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::FutureTimestampProof,TypeAlias,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::FutureTimestampState,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::JiffWorkflowPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::ParseTimestampParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::ParseZonedParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::ParsedTimestamp,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::ParsedZoned,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::TimestampFuture,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::TimezoneConverted,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::UnvalidatedTimestampStr,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::UnvalidatedZonedStr,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::ZonedParsed,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::assert_future_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::compute_span_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::convert_tz_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::parse_timestamp_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::parse_ts,Function,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::workflow::parse_zoned_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::zoned::InTzParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_jiff::zoned::_elicit_compat_InTzParams::InTzParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
jiff::civil::Era,Enum,Missing,,,,,,,
jiff::civil::date,Function,Missing,,,,,,,
jiff::civil::date::Date,Struct,Missing,,,,,,,
jiff::civil::date::DateArithmetic,Struct,Missing,,,,,,,
jiff::civil::date::DateDifference,Struct,Missing,,,,,,,
jiff::civil::date::DateSeries,Struct,Missing,,,,,,,
jiff::civil::date::DateWith,Struct,Missing,,,,,,,
