item_path,item_kind,status,shadow_item,drift_confidence,shadow_elicit_impl,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,notes
elicit_ratatui::events::Event,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::events::KeyCode,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::events::KeyEvent,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::events::KeyModifiers,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::events::MouseButton,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::events::MouseEvent,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::events::MouseEventKind,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::layout::DirectionParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::layout::HorizontalMarginParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::layout::SplitParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::layout::VerticalMarginParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::layout::_elicit_compat_DirectionParams::DirectionParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::layout::_elicit_compat_HorizontalMarginParams::HorizontalMarginParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::layout::_elicit_compat_SplitParams::SplitParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::layout::_elicit_compat_VerticalMarginParams::VerticalMarginParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::plugin::RatatuiCtx,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::plugin::RatatuiPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::render_backend::RatatuiBackend,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::render_context::RatatuiRenderContext,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::state::list_state::ListStateIdParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::state::list_state::ListStateNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::state::list_state::ListStateSelectParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::state::list_state::list_state_destroy,Function,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::state::list_state::list_state_new,Function,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::state::list_state::list_state_offset,Function,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::state::list_state::list_state_select,Function,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::state::list_state::list_state_selected,Function,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::state::scrollbar_state::ScrollbarStateIdParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::state::scrollbar_state::ScrollbarStateNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_ratatui::state::scrollbar_state::ScrollbarStateSetPositionParams,Struct,Extra,,,,,,,"in shadow, not in target"
