item_path,item_kind,api_family,status,coverage_kind,primary_gap_kind,shadow_item,drift_confidence,shadow_elicit_impl,verification_gap,verification_ready,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,action,notes
regex::builders::bytes::RegexBuilder,Struct,regex::builders::bytes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::builders::bytes::RegexBuilder` and make the new wrapper `ElicitComplete`,
regex::builders::bytes::RegexSetBuilder,Struct,regex::builders::bytes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::builders::bytes::RegexSetBuilder` and make the new wrapper `ElicitComplete`,
regex::builders::string::RegexBuilder,Struct,regex::builders::string,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::builders::string::RegexBuilder` and make the new wrapper `ElicitComplete`,
regex::builders::string::RegexSetBuilder,Struct,regex::builders::string,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::builders::string::RegexSetBuilder` and make the new wrapper `ElicitComplete`,
regex::error::Error,Enum,regex::error::Error,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::error::Error` and make the new wrapper `ElicitComplete`,
regex::escape,Function,regex::escape,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `regex::escape` so the full public API surface is represented,
regex::regex::bytes::CaptureLocations,Struct,regex::regex::bytes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::bytes::CaptureLocations` and make the new wrapper `ElicitComplete`,
regex::regex::bytes::CaptureMatches,Struct,regex::regex::bytes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::bytes::CaptureMatches` and make the new wrapper `ElicitComplete`,
regex::regex::bytes::CaptureNames,Struct,regex::regex::bytes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::bytes::CaptureNames` and make the new wrapper `ElicitComplete`,
regex::regex::bytes::Captures,Struct,regex::regex::bytes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::bytes::Captures` and make the new wrapper `ElicitComplete`,
regex::regex::bytes::Match,Struct,regex::regex::bytes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::bytes::Match` and make the new wrapper `ElicitComplete`,
regex::regex::bytes::Matches,Struct,regex::regex::bytes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::bytes::Matches` and make the new wrapper `ElicitComplete`,
regex::regex::bytes::NoExpand,Struct,regex::regex::bytes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::bytes::NoExpand` and make the new wrapper `ElicitComplete`,
regex::regex::bytes::Replacer,Trait,regex::regex::bytes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `regex::regex::bytes::Replacer` so the full public API surface is represented,
regex::regex::bytes::ReplacerRef,Struct,regex::regex::bytes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::bytes::ReplacerRef` and make the new wrapper `ElicitComplete`,
regex::regex::bytes::Split,Struct,regex::regex::bytes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::bytes::Split` and make the new wrapper `ElicitComplete`,
regex::regex::bytes::SplitN,Struct,regex::regex::bytes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::bytes::SplitN` and make the new wrapper `ElicitComplete`,
regex::regex::bytes::SubCaptureMatches,Struct,regex::regex::bytes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::bytes::SubCaptureMatches` and make the new wrapper `ElicitComplete`,
regex::regex::string::CaptureLocations,Struct,regex::regex::string,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::string::CaptureLocations` and make the new wrapper `ElicitComplete`,
regex::regex::string::CaptureMatches,Struct,regex::regex::string,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::string::CaptureMatches` and make the new wrapper `ElicitComplete`,
regex::regex::string::CaptureNames,Struct,regex::regex::string,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::string::CaptureNames` and make the new wrapper `ElicitComplete`,
regex::regex::string::Captures,Struct,regex::regex::string,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::string::Captures` and make the new wrapper `ElicitComplete`,
regex::regex::string::Match,Struct,regex::regex::string,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::string::Match` and make the new wrapper `ElicitComplete`,
regex::regex::string::Matches,Struct,regex::regex::string,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `regex::regex::string::Matches` and make the new wrapper `ElicitComplete`,
