item_path,item_kind,api_family,status,coverage_kind,primary_gap_kind,shadow_item,drift_confidence,shadow_elicit_impl,verification_gap,verification_ready,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,action,notes
rstar::aabb::AABB,Struct,rstar::aabb::AABB,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::aabb::AABB` and make the new wrapper `ElicitComplete`,
rstar::algorithm::intersection_iterator::IntersectionIterator,Struct,rstar::algorithm::intersection_iterator,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::algorithm::intersection_iterator::IntersectionIterator` and make the new wrapper `ElicitComplete`,
rstar::algorithm::iterators::SelectionIterator,Struct,rstar::algorithm::iterators,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::algorithm::iterators::SelectionIterator` and make the new wrapper `ElicitComplete`,
rstar::algorithm::iterators::SelectionIteratorMut,Struct,rstar::algorithm::iterators,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::algorithm::iterators::SelectionIteratorMut` and make the new wrapper `ElicitComplete`,
rstar::algorithm::rstar::RStarInsertionStrategy,Enum,rstar::algorithm::rstar,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::algorithm::rstar::RStarInsertionStrategy` and make the new wrapper `ElicitComplete`,
rstar::algorithm::selection_functions::SelectAllFunc,Struct,rstar::algorithm::selection_functions,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::algorithm::selection_functions::SelectAllFunc` and make the new wrapper `ElicitComplete`,
rstar::algorithm::selection_functions::SelectAtPointFunction,Struct,rstar::algorithm::selection_functions,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::algorithm::selection_functions::SelectAtPointFunction` and make the new wrapper `ElicitComplete`,
rstar::algorithm::selection_functions::SelectInEnvelopeFuncIntersecting,Struct,rstar::algorithm::selection_functions,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::algorithm::selection_functions::SelectInEnvelopeFuncIntersecting` and make the new wrapper `ElicitComplete`,
rstar::algorithm::selection_functions::SelectInEnvelopeFunction,Struct,rstar::algorithm::selection_functions,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::algorithm::selection_functions::SelectInEnvelopeFunction` and make the new wrapper `ElicitComplete`,
rstar::algorithm::selection_functions::SelectWithinDistanceFunction,Struct,rstar::algorithm::selection_functions,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::algorithm::selection_functions::SelectWithinDistanceFunction` and make the new wrapper `ElicitComplete`,
rstar::algorithm::selection_functions::SelectionFunction,Trait,rstar::algorithm::selection_functions,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `rstar::algorithm::selection_functions::SelectionFunction` so the full public API surface is represented,
rstar::envelope::Envelope,Trait,rstar::envelope::Envelope,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `rstar::envelope::Envelope` so the full public API surface is represented,
rstar::node::ParentNode,Struct,rstar::node::ParentNode,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::node::ParentNode` and make the new wrapper `ElicitComplete`,
rstar::node::RTreeNode,Enum,rstar::node::RTreeNode,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::node::RTreeNode` and make the new wrapper `ElicitComplete`,
rstar::object::PointDistance,Trait,rstar::object::PointDistance,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `rstar::object::PointDistance` so the full public API surface is represented,
rstar::object::RTreeObject,Trait,rstar::object::RTreeObject,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `rstar::object::RTreeObject` so the full public API surface is represented,
rstar::params::DefaultParams,Struct,rstar::params::DefaultParams,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::params::DefaultParams` and make the new wrapper `ElicitComplete`,
rstar::params::InsertionStrategy,Trait,rstar::params::InsertionStrategy,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `rstar::params::InsertionStrategy` so the full public API surface is represented,
rstar::params::RTreeParams,Trait,rstar::params::RTreeParams,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `rstar::params::RTreeParams` so the full public API surface is represented,
rstar::point::Point,Trait,rstar::point::Point,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `rstar::point::Point` so the full public API surface is represented,
rstar::point::RTreeNum,Trait,rstar::point::RTreeNum,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `rstar::point::RTreeNum` so the full public API surface is represented,
rstar::primitives::line::Line,Struct,rstar::primitives::line,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::primitives::line::Line` and make the new wrapper `ElicitComplete`,
rstar::primitives::point_with_data::PointWithData,Struct,rstar::primitives::point_with_data,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::primitives::point_with_data::PointWithData` and make the new wrapper `ElicitComplete`,
rstar::primitives::rectangle::Rectangle,Struct,rstar::primitives::rectangle,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::primitives::rectangle::Rectangle` and make the new wrapper `ElicitComplete`,
rstar::rtree::RTree,Struct,rstar::rtree::RTree,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `rstar::rtree::RTree` and make the new wrapper `ElicitComplete`,
elicit_rstar::factory::prime_point_distance_tree,Function,elicit_rstar::factory::prime_point_distance_tree,Extra,PossiblyStale,PossiblyStale,,,,false,false,,,,"Audit `elicit_rstar::factory::prime_point_distance_tree`: remove it if stale, or rename/remap it to an upstream public item","in shadow, not in target"
elicit_rstar::factory::prime_rtree_object_tree,Function,elicit_rstar::factory::prime_rtree_object_tree,Extra,PossiblyStale,PossiblyStale,,,,false,false,,,,"Audit `elicit_rstar::factory::prime_rtree_object_tree`: remove it if stale, or rename/remap it to an upstream public item","in shadow, not in target"
elicit_rstar::tree::LineTree,TypeAlias,elicit_rstar::tree::LineTree,Extra,PossiblyStale,PossiblyStale,,,,false,false,,,,"Audit `elicit_rstar::tree::LineTree`: remove it if stale, or rename/remap it to an upstream public item","in shadow, not in target"
elicit_rstar::tree::RectangleTree,TypeAlias,elicit_rstar::tree::RectangleTree,Extra,PossiblyStale,PossiblyStale,,,,false,false,,,,"Audit `elicit_rstar::tree::RectangleTree`: remove it if stale, or rename/remap it to an upstream public item","in shadow, not in target"
elicit_rstar::tree::RstarTree,Struct,elicit_rstar::tree::RstarTree,Extra,PossiblyStale,PossiblyStale,,,,false,false,,,,"Audit `elicit_rstar::tree::RstarTree`: remove it if stale, or rename/remap it to an upstream public item","in shadow, not in target"
elicit_rstar::tree::_elicit_compat_RstarTree::RstarTreeStyle,Enum,elicit_rstar::tree::_elicit_compat_RstarTree,Extra,PossiblyStale,PossiblyStale,,,,false,false,,,,"Audit `elicit_rstar::tree::_elicit_compat_RstarTree::RstarTreeStyle`: remove it if stale, or rename/remap it to an upstream public item","in shadow, not in target"
elicit_rstar::factory::PointDistanceFactory,Struct,elicit_rstar::factory::PointDistanceFactory,Extra,InfrastructureExtra,InfrastructureExtra,,,,false,false,,,,Shadow-only infrastructure item; keep unless it should instead map to an upstream API item,"in shadow, not in target"
elicit_rstar::factory::RTreeObjectFactory,Struct,elicit_rstar::factory::RTreeObjectFactory,Extra,InfrastructureExtra,InfrastructureExtra,,,,false,false,,,,Shadow-only infrastructure item; keep unless it should instead map to an upstream API item,"in shadow, not in target"
