item_path,item_kind,api_family,status,coverage_kind,primary_gap_kind,shadow_item,drift_confidence,shadow_elicit_impl,verification_gap,verification_ready,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,action,notes
sqlx::any::install_default_drivers,Function,sqlx::any::install_default_drivers,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx::any::install_default_drivers` so the full public API surface is represented,
sqlx::migrate,Macro,sqlx::migrate,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx::migrate` so the full public API surface is represented,
sqlx::query,Macro,sqlx::query,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx::query` so the full public API surface is represented,
sqlx::query_as,Macro,sqlx::query_as,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx::query_as` so the full public API surface is represented,
sqlx::query_as_unchecked,Macro,sqlx::query_as_unchecked,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx::query_as_unchecked` so the full public API surface is represented,
sqlx::query_file,Macro,sqlx::query_file,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx::query_file` so the full public API surface is represented,
sqlx::query_file_as,Macro,sqlx::query_file_as,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx::query_file_as` so the full public API surface is represented,
sqlx::query_file_as_unchecked,Macro,sqlx::query_file_as_unchecked,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx::query_file_as_unchecked` so the full public API surface is represented,
sqlx::query_file_scalar,Macro,sqlx::query_file_scalar,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx::query_file_scalar` so the full public API surface is represented,
sqlx::query_file_scalar_unchecked,Macro,sqlx::query_file_scalar_unchecked,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx::query_file_scalar_unchecked` so the full public API surface is represented,
sqlx::query_file_unchecked,Macro,sqlx::query_file_unchecked,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx::query_file_unchecked` so the full public API surface is represented,
sqlx::query_scalar,Macro,sqlx::query_scalar,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx::query_scalar` so the full public API surface is represented,
sqlx::query_scalar_unchecked,Macro,sqlx::query_scalar_unchecked,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx::query_scalar_unchecked` so the full public API surface is represented,
sqlx::query_unchecked,Macro,sqlx::query_unchecked,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx::query_unchecked` so the full public API surface is represented,
sqlx_core::acquire::Acquire,Trait,sqlx_core::acquire::Acquire,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx_core::acquire::Acquire` so the full public API surface is represented,
sqlx_core::any::AnyExecutor,Trait,sqlx_core::any::AnyExecutor,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx_core::any::AnyExecutor` so the full public API surface is represented,
sqlx_core::any::AnyPool,TypeAlias,sqlx_core::any::AnyPool,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `sqlx_core::any::AnyPool` and make the new wrapper `ElicitComplete`,
sqlx_core::any::AnyPoolOptions,TypeAlias,sqlx_core::any::AnyPoolOptions,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `sqlx_core::any::AnyPoolOptions` and make the new wrapper `ElicitComplete`,
sqlx_core::any::arguments::AnyArgumentBuffer,Struct,sqlx_core::any::arguments,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `sqlx_core::any::arguments::AnyArgumentBuffer` and make the new wrapper `ElicitComplete`,
sqlx_core::any::arguments::AnyArguments,Struct,sqlx_core::any::arguments,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `sqlx_core::any::arguments::AnyArguments` and make the new wrapper `ElicitComplete`,
sqlx_core::any::connection::AnyConnection,Struct,sqlx_core::any::connection,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `sqlx_core::any::connection::AnyConnection` and make the new wrapper `ElicitComplete`,
sqlx_core::any::connection::backend::AnyConnectionBackend,Trait,sqlx_core::any::connection,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx_core::any::connection::backend::AnyConnectionBackend` so the full public API surface is represented,
sqlx_core::any::database::Any,Struct,sqlx_core::any::database,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `sqlx_core::any::database::Any` and make the new wrapper `ElicitComplete`,
sqlx_core::any::driver::AnyDriver,Struct,sqlx_core::any::driver,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `sqlx_core::any::driver::AnyDriver` and make the new wrapper `ElicitComplete`,
sqlx_core::any::driver::install_drivers,Function,sqlx_core::any::driver,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `sqlx_core::any::driver::install_drivers` so the full public API surface is represented,
sqlx_core::any::kind::AnyKind,Enum,sqlx_core::any::kind,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `sqlx_core::any::kind::AnyKind` and make the new wrapper `ElicitComplete`,
sqlx_core::any::options::AnyConnectOptions,Struct,sqlx_core::any::options,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `sqlx_core::any::options::AnyConnectOptions` and make the new wrapper `ElicitComplete`,
sqlx_core::any::statement::AnyStatement,Struct,sqlx_core::any::statement,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `sqlx_core::any::statement::AnyStatement` and make the new wrapper `ElicitComplete`,
sqlx_core::any::transaction::AnyTransactionManager,Struct,sqlx_core::any::transaction,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `sqlx_core::any::transaction::AnyTransactionManager` and make the new wrapper `ElicitComplete`,
sqlx_core::any::type_info::AnyTypeInfoKind,Enum,sqlx_core::any::type_info,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `sqlx_core::any::type_info::AnyTypeInfoKind` and make the new wrapper `ElicitComplete`,
sqlx_core::any::value::AnyValue,Struct,sqlx_core::any::value,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `sqlx_core::any::value::AnyValue` and make the new wrapper `ElicitComplete`,
