item_path,item_kind,status,shadow_item,drift_confidence,notes
elicit_time::workflow::AddSecondsParams,Struct,Extra,,,"in shadow, not in target"
elicit_time::workflow::AssertFutureParams,Struct,Extra,,,"in shadow, not in target"
elicit_time::workflow::ComputeDurationParams,Struct,Extra,,,"in shadow, not in target"
elicit_time::workflow::FutureOffsetDateTimeState,Struct,Extra,,,"in shadow, not in target"
elicit_time::workflow::FutureOffsetProof,TypeAlias,Extra,,,"in shadow, not in target"
elicit_time::workflow::OffsetDateTimeFuture,Struct,Extra,,,"in shadow, not in target"
elicit_time::workflow::OffsetDateTimeParsed,Struct,Extra,,,"in shadow, not in target"
elicit_time::workflow::ParseOffsetParams,Struct,Extra,,,"in shadow, not in target"
elicit_time::workflow::ParsePrimitiveParams,Struct,Extra,,,"in shadow, not in target"
elicit_time::workflow::ParsedOffsetDateTime,Struct,Extra,,,"in shadow, not in target"
elicit_time::workflow::ParsedPrimitiveDateTime,Struct,Extra,,,"in shadow, not in target"
elicit_time::workflow::PrimitiveDateTimeParsed,Struct,Extra,,,"in shadow, not in target"
elicit_time::workflow::TimeWorkflowPlugin,Struct,Extra,,,"in shadow, not in target"
elicit_time::workflow::UnvalidatedOffsetStr,Struct,Extra,,,"in shadow, not in target"
elicit_time::workflow::UnvalidatedPrimitiveStr,Struct,Extra,,,"in shadow, not in target"
time::Result,TypeAlias,Missing,,,
time::date::Date,Struct,Missing,,,
time::date::private::DateMetadata,Struct,Missing,,,
time::duration::Duration,Struct,Missing,,,
time::error::Error,Enum,Missing,,,
time::error::component_range::ComponentRange,Struct,Missing,,,
time::error::conversion_range::ConversionRange,Struct,Missing,,,
time::error::different_variant::DifferentVariant,Struct,Missing,,,
time::error::format::Format,Enum,Missing,,,
time::error::indeterminate_offset::IndeterminateOffset,Struct,Missing,,,
time::error::invalid_format_description::InvalidFormatDescription,Enum,Missing,,,
time::error::invalid_variant::InvalidVariant,Struct,Missing,,,
time::error::parse::Parse,Enum,Missing,,,
time::error::parse_from_description::ParseFromDescription,Enum,Missing,,,
time::error::try_from_parsed::TryFromParsed,Enum,Missing,,,
time::format_description::StaticFormatDescription,TypeAlias,Missing,,,
time::format_description::borrowed_format_item::BorrowedFormatItem,Enum,Missing,,,
time::format_description::component::Component,Enum,Missing,,,
time::format_description::modifier::Day,Struct,Missing,,,
time::format_description::modifier::End,Struct,Missing,,,
time::format_description::modifier::Hour,Struct,Missing,,,
time::format_description::modifier::Ignore,Struct,Missing,,,
time::format_description::modifier::Minute,Struct,Missing,,,
time::format_description::modifier::Month,Struct,Missing,,,
time::format_description::modifier::MonthRepr,Enum,Missing,,,
time::format_description::modifier::OffsetHour,Struct,Missing,,,
time::format_description::modifier::OffsetMinute,Struct,Missing,,,
time::format_description::modifier::OffsetSecond,Struct,Missing,,,
time::format_description::modifier::Ordinal,Struct,Missing,,,
time::format_description::modifier::Padding,Enum,Missing,,,
time::format_description::modifier::Period,Struct,Missing,,,
time::format_description::modifier::Second,Struct,Missing,,,
time::format_description::modifier::Subsecond,Struct,Missing,,,
time::format_description::modifier::SubsecondDigits,Enum,Missing,,,
time::format_description::modifier::TrailingInput,Enum,Missing,,,
time::format_description::modifier::UnixTimestamp,Struct,Missing,,,
time::format_description::modifier::UnixTimestampPrecision,Enum,Missing,,,
time::format_description::modifier::WeekNumber,Struct,Missing,,,
time::format_description::modifier::WeekNumberRepr,Enum,Missing,,,
time::format_description::modifier::Weekday,Struct,Missing,,,
time::format_description::modifier::WeekdayRepr,Enum,Missing,,,
time::format_description::modifier::Year,Struct,Missing,,,
time::format_description::modifier::YearRange,Enum,Missing,,,
time::format_description::modifier::YearRepr,Enum,Missing,,,
time::format_description::owned_format_item::OwnedFormatItem,Enum,Missing,,,
time::format_description::well_known::iso8601::Config,Struct,Missing,,,
time::format_description::well_known::iso8601::DateKind,Enum,Missing,,,
time::format_description::well_known::iso8601::FormattedComponents,Enum,Missing,,,
time::format_description::well_known::iso8601::Iso8601,Struct,Missing,,,
time::format_description::well_known::iso8601::OffsetPrecision,Enum,Missing,,,
time::format_description::well_known::iso8601::TimePrecision,Enum,Missing,,,
time::format_description::well_known::iso8601::adt_hack::EncodedConfig,TypeAlias,Missing,,,
time::format_description::well_known::rfc2822::Rfc2822,Struct,Missing,,,
time::format_description::well_known::rfc3339::Rfc3339,Struct,Missing,,,
time::month::Month,Enum,Missing,,,
time::month::private::MonthMetadata,Struct,Missing,,,
time::offset_date_time::OffsetDateTime,Struct,Covered,elicit_time::offset_date_time::OffsetDateTime,,
time::parsing::parsed::Parsed,Struct,Missing,,,
time::primitive_date_time::PrimitiveDateTime,Struct,Covered,elicit_time::primitive_date_time::PrimitiveDateTime,,
time::time::Time,Struct,Missing,,,
time::time::private::TimeMetadata,Struct,Missing,,,
time::utc_date_time::UtcDateTime,Struct,Missing,,,
time::utc_offset::UtcOffset,Struct,Missing,,,
time::utc_offset::private::UtcOffsetMetadata,Struct,Missing,,,
time::weekday::Weekday,Enum,Missing,,,
time::weekday::private::WeekdayMetadata,Struct,Missing,,,
time_core::convert::Day,Struct,Missing,,,
time_core::convert::Hour,Struct,Missing,,,
time_core::convert::Microsecond,Struct,Missing,,,
time_core::convert::Millisecond,Struct,Missing,,,
time_core::convert::Minute,Struct,Missing,,,
time_core::convert::Nanosecond,Struct,Missing,,,
time_core::convert::Second,Struct,Missing,,,
time_core::convert::Week,Struct,Missing,,,
