item_path,item_kind,status,shadow_item,drift_confidence,shadow_elicit_impl,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,notes
elicit_tokio::channels::BroadcastCreateParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::BroadcastReceiverCloseParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::BroadcastRecvParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::BroadcastSendParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::BroadcastSenderCloseParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::BroadcastSubscribeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::BroadcastTryRecvParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::ChannelClosed,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::MessageReceived,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::MessageSent,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::MpscCreateParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::MpscReceiverCloseParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::MpscRecvParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::MpscSendParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::MpscSenderCloseParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::MpscTryRecvParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::MpscTrySendParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::MutexCloseParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::MutexCreateParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::MutexLockParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::MutexTryLockParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::MutexUpdateParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::OneshotCreateParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::OneshotRecvParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::OneshotSendParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::OneshotTryRecvParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::RwLockCloseParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::RwLockCreateParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::RwLockReadParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::RwLockTryReadParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::RwLockTryWriteParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::TokioChannelPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::WatchBorrowParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::WatchChangedParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::WatchCreateParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::WatchReceiverCloseParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::WatchSendParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::WatchSenderCloseParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::WatchSubscribeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::_elicit_compat_ChannelClosed::ChannelClosedStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::_elicit_compat_MessageReceived::MessageReceivedStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::channels::_elicit_compat_MessageSent::MessageSentStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::CanonicalizeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::CopyFileParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::CreateDirAllParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::CreateDirParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::DirCreated,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::FileRead,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::FileWritten,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::MetadataParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::ReadBytesParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::ReadDirParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::ReadToStringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::RemoveDirAllParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::RemoveDirParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::RemoveFileParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::RenameParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::TokioFsPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::WriteBytesParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::WriteTextParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::_elicit_compat_CanonicalizeParams::CanonicalizeParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::_elicit_compat_CopyFileParams::CopyFileParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::_elicit_compat_CreateDirAllParams::CreateDirAllParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::_elicit_compat_CreateDirParams::CreateDirParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::_elicit_compat_DirCreated::DirCreatedStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::_elicit_compat_FileRead::FileReadStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::_elicit_compat_FileWritten::FileWrittenStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::_elicit_compat_MetadataParams::MetadataParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::_elicit_compat_ReadDirParams::ReadDirParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::_elicit_compat_RemoveDirAllParams::RemoveDirAllParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::_elicit_compat_RemoveDirParams::RemoveDirParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::_elicit_compat_RemoveFileParams::RemoveFileParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::fs::_elicit_compat_RenameParams::RenameParamsStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::io::DuplexCloseParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::io::DuplexCreateParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tokio::io::DuplexCreated,Struct,Extra,,,,,,,"in shadow, not in target"
