item_path,item_kind,status,shadow_item,drift_confidence,notes
elicit_toml::plugin::TomlCtx,Struct,Extra,,,"in shadow, not in target"
elicit_toml::plugin::TomlPlugin,Struct,Extra,,,"in shadow, not in target"
toml::de::deserializer::Deserializer,Struct,Missing,,,
toml::de::deserializer::value::ValueDeserializer,Struct,Missing,,,
toml::de::error::Error,Struct,Missing,,,
toml::de::parser::dearray::DeArray,Struct,Missing,,,
toml::de::parser::detable::DeTable,TypeAlias,Missing,,,
toml::de::parser::devalue::DeFloat,Struct,Missing,,,
toml::de::parser::devalue::DeInteger,Struct,Missing,,,
toml::de::parser::devalue::DeString,TypeAlias,Missing,,,
toml::de::parser::devalue::DeValue,Enum,Missing,,,
toml::map::Entry,Enum,Missing,,,
toml::map::IntoIter,Struct,Missing,,,
toml::map::Iter,Struct,Missing,,,
toml::map::IterMut,Struct,Missing,,,
toml::map::Keys,Struct,Missing,,,
toml::map::Map,Struct,Missing,,,
toml::map::OccupiedEntry,Struct,Missing,,,
toml::map::VacantEntry,Struct,Missing,,,
toml::map::Values,Struct,Missing,,,
toml::ser::document::Serializer,Struct,Missing,,,
toml::ser::document::buffer::Buffer,Struct,Missing,,,
toml::ser::error::Error,Struct,Missing,,,
toml::ser::value::ValueSerializer,Struct,Missing,,,
toml::ser::value::array::SerializeTupleVariant,Struct,Missing,,,
toml::ser::value::map::SerializeStructVariant,Struct,Missing,,,
toml::table::Table,TypeAlias,Missing,,,
toml::value::Array,TypeAlias,Missing,,,
toml::value::Value,Enum,Missing,,,
toml_datetime::datetime::Date,Struct,Missing,,,
toml_datetime::datetime::Datetime,Struct,Missing,,,
toml_datetime::datetime::DatetimeFromString,Struct,Missing,,,
toml_datetime::datetime::DatetimeKey,Struct,Missing,,,
toml_datetime::datetime::DatetimeParseError,Struct,Missing,,,
toml_datetime::datetime::Lexer,Struct,Missing,,,
toml_datetime::datetime::Offset,Enum,Missing,,,
toml_datetime::datetime::Time,Struct,Missing,,,
toml_datetime::datetime::Token,Struct,Missing,,,
toml_datetime::datetime::TokenKind,Enum,Missing,,,
toml_datetime::datetime::deserialize::DatetimeVisitor,Struct,Missing,,,
toml_datetime::datetime::deserialize::FieldVisitor,Struct,Missing,,,
toml_datetime::datetime::deserialize::Visitor,Struct,Missing,,,
toml_datetime::de::DatetimeDeserializer,Struct,Missing,,,
toml_datetime::de::DatetimeOrTable,Struct,Missing,,,
toml_datetime::ser::DatetimeFieldSerializer,Struct,Missing,,,
toml_datetime::ser::DatetimeSerializer,Struct,Missing,,,
toml_datetime::ser::SerializerError,Enum,Missing,,,
toml_parser::debug::DebugErrorSink,Struct,Missing,,,
toml_parser::debug::DebugEventReceiver,Struct,Missing,,,
toml_parser::decoder::Encoding,Enum,Missing,,,
toml_parser::decoder::scalar::IntegerRadix,Enum,Missing,,,
toml_parser::decoder::scalar::ScalarKind,Enum,Missing,,,
toml_parser::error::Expected,Enum,Missing,,,
toml_parser::error::ParseError,Struct,Missing,,,
toml_parser::lexer::Lexer,Struct,Missing,,,
toml_parser::lexer::token::Token,Struct,Missing,,,
toml_parser::lexer::token::TokenKind,Enum,Missing,,,
toml_parser::parser::document::on_inline_table_open::State,Enum,Missing,,,
toml_parser::parser::event::Event,Struct,Missing,,,
toml_parser::parser::event::EventKind,Enum,Missing,,,
toml_parser::parser::event::RecursionGuard,Struct,Missing,,,
toml_parser::parser::event::ValidateWhitespace,Struct,Missing,,,
toml_parser::source::Raw,Struct,Missing,,,
toml_parser::source::Source,Struct,Missing,,,
toml_parser::source::Span,Struct,Missing,,,
toml_writer::integer::HexCase,Enum,Missing,,,
toml_writer::integer::Radix,Enum,Missing,,,
toml_writer::integer::TomlInteger,Struct,Missing,,,
toml_writer::integer::TomlIntegerFormat,Struct,Missing,,,
toml_writer::string::Encoding,Enum,Missing,,,
toml_writer::string::KeyMetrics,Struct,Missing,,,
toml_writer::string::TomlKey,Struct,Missing,,,
toml_writer::string::TomlKeyBuilder,Struct,Missing,,,
toml_writer::string::TomlString,Struct,Missing,,,
toml_writer::string::TomlStringBuilder,Struct,Missing,,,
toml_writer::string::ValueMetrics,Struct,Missing,,,
