item_path,item_kind,status,shadow_item,drift_confidence,shadow_elicit_impl,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,notes
elicit_tower,Module,Extra,,,,,,,"in shadow, not in target"
elicit_tower::balance::BalanceDescribeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::balance::BalanceIdResult,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::balance::LoadIdResult,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::balance::P2cNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::balance::PeakEwmaNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::balance::PendingRequestsNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::balance::TowerBalanceCreated,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::balance::TowerBalancePlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::balance::TowerLoadCreated,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::balance::_elicit_compat_TowerBalanceCreated::TowerBalanceCreatedStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tower::balance::_elicit_compat_TowerLoadCreated::TowerLoadCreatedStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tower::builder::BuilderAddLayerParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::builder::BuilderBuildParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::builder::BuilderDescribeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::builder::BuilderIdResult,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::builder::BuilderNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::builder::TowerBuilderPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::builder::TowerServiceBuilderCreated,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::builder::TowerServiceBuilderDone,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::builder::TowerServiceBuilderLayerAdded,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::builder::_elicit_compat_TowerServiceBuilderCreated::TowerServiceBuilderCreatedStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tower::builder::_elicit_compat_TowerServiceBuilderDone::TowerServiceBuilderDoneStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tower::builder::_elicit_compat_TowerServiceBuilderLayerAdded::TowerServiceBuilderLayerAddedStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::CompressionLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::CorsLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::DecompressionLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::HttpLayerDescribeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::HttpTimeoutLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::NormalizePathLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::PropagateHeaderLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::SensitiveRequestHeadersLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::SensitiveResponseHeadersLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::SetRequestHeaderLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::SetResponseHeaderLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::SetStatusLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::TowerHttpLayerCreated,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::TowerHttpPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::ValidateRequestHeaderLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::http::_elicit_compat_TowerHttpLayerCreated::TowerHttpLayerCreatedStyle,Enum,Extra,,,,,,,"in shadow, not in target"
elicit_tower::limit::BufferLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::limit::ConcurrencyLimitLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::limit::LayerDescribeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::limit::LayerIdResult,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::limit::LoadShedLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::limit::RateLimitLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::limit::RateNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::limit::SpawnReadyLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::limit::TimeoutLayerNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::limit::TowerLayerCreated,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::limit::TowerLimitPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::limit::TowerRateCreated,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_tower::limit::_elicit_compat_TowerLayerCreated::TowerLayerCreatedStyle,Enum,Extra,,,,,,,"in shadow, not in target"
