item_path,item_kind,api_family,status,coverage_kind,primary_gap_kind,shadow_item,drift_confidence,shadow_elicit_impl,verification_gap,verification_ready,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,action,notes
uom::ConstZero,Trait,uom::ConstZero,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::ConstZero` so the full public API surface is represented,
uom::ConstantOp,Enum,uom::ConstantOp,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `uom::ConstantOp` and make the new wrapper `ElicitComplete`,
uom::Conversion,Trait,uom::Conversion,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::Conversion` so the full public API surface is represented,
uom::ConversionFactor,Trait,uom::ConversionFactor,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::ConversionFactor` so the full public API surface is represented,
uom::ISQ,Macro,uom::ISQ,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::ISQ` so the full public API surface is represented,
uom::Kind,Trait,uom::Kind,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::Kind` so the full public API surface is represented,
uom::fmt::DisplayStyle,Enum,uom::fmt::DisplayStyle,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `uom::fmt::DisplayStyle` and make the new wrapper `ElicitComplete`,
uom::impl_from,Macro,uom::impl_from,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::impl_from` so the full public API surface is represented,
uom::marker::Add,Trait,uom::marker::Add,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::marker::Add` so the full public API surface is represented,
uom::marker::AddAssign,Trait,uom::marker::AddAssign,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::marker::AddAssign` so the full public API surface is represented,
uom::marker::Div,Trait,uom::marker::Div,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::marker::Div` so the full public API surface is represented,
uom::marker::DivAssign,Trait,uom::marker::DivAssign,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::marker::DivAssign` so the full public API surface is represented,
uom::marker::Mul,Trait,uom::marker::Mul,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::marker::Mul` so the full public API surface is represented,
uom::marker::MulAssign,Trait,uom::marker::MulAssign,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::marker::MulAssign` so the full public API surface is represented,
uom::marker::Neg,Trait,uom::marker::Neg,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::marker::Neg` so the full public API surface is represented,
uom::marker::Rem,Trait,uom::marker::Rem,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::marker::Rem` so the full public API surface is represented,
uom::marker::RemAssign,Trait,uom::marker::RemAssign,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::marker::RemAssign` so the full public API surface is represented,
uom::marker::Saturating,Trait,uom::marker::Saturating,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::marker::Saturating` so the full public API surface is represented,
uom::marker::Sub,Trait,uom::marker::Sub,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::marker::Sub` so the full public API surface is represented,
uom::marker::SubAssign,Trait,uom::marker::SubAssign,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::marker::SubAssign` so the full public API surface is represented,
uom::prefix,Macro,uom::prefix,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::prefix` so the full public API surface is represented,
uom::quantity,Macro,uom::quantity,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `uom::quantity` so the full public API surface is represented,
