item_path,item_kind,status,shadow_item,drift_confidence,shadow_elicit_impl,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,notes
uuid::Bytes,TypeAlias,Missing,,,,,,,
uuid::Uuid,Struct,Covered,elicit_uuid::uuid_type::Uuid,,Complete,true,,,
uuid::Variant,Enum,Missing,,,,,,,
uuid::Version,Enum,Missing,,,,,,,
uuid::builder::Builder,Struct,Missing,,,,,,,
uuid::error::Error,Struct,Missing,,,,,,,
uuid::external::serde_support::braced::deserialize,Function,Missing,,,,,,,
uuid::external::serde_support::braced::serialize,Function,Missing,,,,,,,
uuid::external::serde_support::compact::deserialize,Function,Missing,,,,,,,
uuid::external::serde_support::compact::serialize,Function,Missing,,,,,,,
uuid::external::serde_support::hyphenated::deserialize,Function,Missing,,,,,,,
uuid::external::serde_support::hyphenated::serialize,Function,Missing,,,,,,,
uuid::external::serde_support::simple::deserialize,Function,Missing,,,,,,,
uuid::external::serde_support::simple::serialize,Function,Missing,,,,,,,
uuid::external::serde_support::urn::deserialize,Function,Missing,,,,,,,
uuid::external::serde_support::urn::serialize,Function,Missing,,,,,,,
uuid::fmt::Braced,Struct,Missing,,,,,,,
uuid::fmt::Hyphenated,Struct,Missing,,,,,,,
uuid::fmt::Simple,Struct,Missing,,,,,,,
uuid::fmt::Urn,Struct,Missing,,,,,,,
uuid::non_nil::NonNilUuid,Struct,Missing,,,,,,,
uuid::timestamp::ClockSequence,Trait,Missing,,,,,,,
uuid::timestamp::Timestamp,Struct,Missing,,,,,,,
uuid::timestamp::UUID_TICKS_BETWEEN_EPOCHS,Constant,Missing,,,,,,,
uuid::timestamp::context::NoContext,Struct,Missing,,,,,,,
uuid::timestamp::context::std_support::ThreadLocalContext,Struct,Missing,,,,,,,
uuid::uuid,Macro,Missing,,,,,,,
