item_path,item_kind,api_family,status,coverage_kind,primary_gap_kind,shadow_item,drift_confidence,shadow_elicit_impl,verification_gap,verification_ready,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,action,notes
bitflags::iter::Iter,Struct,bitflags::iter::Iter,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `bitflags::iter::Iter` and make the new wrapper `ElicitComplete`,
bitflags::iter::IterNames,Struct,bitflags::iter::IterNames,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `bitflags::iter::IterNames` and make the new wrapper `ElicitComplete`,
raw_window_handle::HandleError,Enum,raw_window_handle::HandleError,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `raw_window_handle::HandleError` and make the new wrapper `ElicitComplete`,
raw_window_handle::borrowed::HasDisplayHandle,Trait,raw_window_handle::borrowed::HasDisplayHandle,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `raw_window_handle::borrowed::HasDisplayHandle` so the full public API surface is represented,
raw_window_handle::borrowed::HasWindowHandle,Trait,raw_window_handle::borrowed::HasWindowHandle,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `raw_window_handle::borrowed::HasWindowHandle` so the full public API surface is represented,
wgpu::include_spirv_raw,Macro,wgpu::include_spirv_raw,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `wgpu::include_spirv_raw` so the full public API surface is represented,
wgpu::include_wgsl,Macro,wgpu::include_wgsl,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `wgpu::include_wgsl` so the full public API surface is represented,
wgpu::util::DownloadBuffer,Struct,wgpu::util::DownloadBuffer,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `wgpu::util::DownloadBuffer` and make the new wrapper `ElicitComplete`,
wgpu::util::TextureFormatExt,Trait,wgpu::util::TextureFormatExt,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `wgpu::util::TextureFormatExt` so the full public API surface is represented,
wgpu::util::pipeline_cache_key,Function,wgpu::util::pipeline_cache_key,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `wgpu::util::pipeline_cache_key` so the full public API surface is represented,
wgpu::vertex_attr_array,Macro,wgpu::vertex_attr_array,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `wgpu::vertex_attr_array` so the full public API surface is represented,
wgpu_hal::AccelerationStructureAABBs,Struct,wgpu_hal::AccelerationStructureAABBs,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `wgpu_hal::AccelerationStructureAABBs` and make the new wrapper `ElicitComplete`,
wgpu_hal::AccelerationStructureBarrier,Struct,wgpu_hal::AccelerationStructureBarrier,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `wgpu_hal::AccelerationStructureBarrier` and make the new wrapper `ElicitComplete`,
wgpu_hal::AccelerationStructureBuildMode,Enum,wgpu_hal::AccelerationStructureBuildMode,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `wgpu_hal::AccelerationStructureBuildMode` and make the new wrapper `ElicitComplete`,
wgpu_hal::AccelerationStructureBuildSizes,Struct,wgpu_hal::AccelerationStructureBuildSizes,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `wgpu_hal::AccelerationStructureBuildSizes` and make the new wrapper `ElicitComplete`,
wgpu_hal::AccelerationStructureDescriptor,Struct,wgpu_hal::AccelerationStructureDescriptor,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `wgpu_hal::AccelerationStructureDescriptor` and make the new wrapper `ElicitComplete`,
wgpu_hal::AccelerationStructureEntries,Enum,wgpu_hal::AccelerationStructureEntries,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `wgpu_hal::AccelerationStructureEntries` and make the new wrapper `ElicitComplete`,
wgpu_hal::AccelerationStructureFormat,Enum,wgpu_hal::AccelerationStructureFormat,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `wgpu_hal::AccelerationStructureFormat` and make the new wrapper `ElicitComplete`,
wgpu_hal::AccelerationStructureInstances,Struct,wgpu_hal::AccelerationStructureInstances,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `wgpu_hal::AccelerationStructureInstances` and make the new wrapper `ElicitComplete`,
wgpu_hal::AccelerationStructureTriangleIndices,Struct,wgpu_hal::AccelerationStructureTriangleIndices,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `wgpu_hal::AccelerationStructureTriangleIndices` and make the new wrapper `ElicitComplete`,
wgpu_hal::AccelerationStructureTriangleTransform,Struct,wgpu_hal::AccelerationStructureTriangleTransform,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `wgpu_hal::AccelerationStructureTriangleTransform` and make the new wrapper `ElicitComplete`,
wgpu_hal::AccelerationStructureTriangles,Struct,wgpu_hal::AccelerationStructureTriangles,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `wgpu_hal::AccelerationStructureTriangles` and make the new wrapper `ElicitComplete`,
