item_path,item_kind,api_family,status,coverage_kind,primary_gap_kind,shadow_item,drift_confidence,shadow_elicit_impl,verification_gap,verification_ready,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,action,notes
winit::application::ApplicationHandler,Trait,winit::application::ApplicationHandler,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `winit::application::ApplicationHandler` so the full public API surface is represented,
winit::cursor::BadImage,Enum,winit::cursor::BadImage,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::cursor::BadImage` and make the new wrapper `ElicitComplete`,
winit::cursor::Cursor,Enum,winit::cursor::Cursor,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::cursor::Cursor` and make the new wrapper `ElicitComplete`,
winit::cursor::CustomCursor,Struct,winit::cursor::CustomCursor,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::cursor::CustomCursor` and make the new wrapper `ElicitComplete`,
winit::cursor::CustomCursorSource,Struct,winit::cursor::CustomCursorSource,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::cursor::CustomCursorSource` and make the new wrapper `ElicitComplete`,
winit::cursor::MAX_CURSOR_SIZE,Constant,winit::cursor::MAX_CURSOR_SIZE,Missing,Missing,Missing,,,,false,false,,,,Add a shadow item for upstream `winit::cursor::MAX_CURSOR_SIZE` so the full public API surface is represented,
winit::error::EventLoopError,Enum,winit::error::EventLoopError,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::error::EventLoopError` and make the new wrapper `ElicitComplete`,
winit::error::ExternalError,Enum,winit::error::ExternalError,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::error::ExternalError` and make the new wrapper `ElicitComplete`,
winit::error::NotSupportedError,Struct,winit::error::NotSupportedError,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::error::NotSupportedError` and make the new wrapper `ElicitComplete`,
winit::error::OsError,Struct,winit::error::OsError,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::error::OsError` and make the new wrapper `ElicitComplete`,
winit::event::AxisId,TypeAlias,winit::event::AxisId,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::AxisId` and make the new wrapper `ElicitComplete`,
winit::event::ButtonId,TypeAlias,winit::event::ButtonId,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::ButtonId` and make the new wrapper `ElicitComplete`,
winit::event::DeviceEvent,Enum,winit::event::DeviceEvent,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::DeviceEvent` and make the new wrapper `ElicitComplete`,
winit::event::DeviceId,Struct,winit::event::DeviceId,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::DeviceId` and make the new wrapper `ElicitComplete`,
winit::event::ElementState,Enum,winit::event::ElementState,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::ElementState` and make the new wrapper `ElicitComplete`,
winit::event::Event,Enum,winit::event::Event,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::Event` and make the new wrapper `ElicitComplete`,
winit::event::Force,Enum,winit::event::Force,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::Force` and make the new wrapper `ElicitComplete`,
winit::event::Ime,Enum,winit::event::Ime,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::Ime` and make the new wrapper `ElicitComplete`,
winit::event::InnerSizeWriter,Struct,winit::event::InnerSizeWriter,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::InnerSizeWriter` and make the new wrapper `ElicitComplete`,
winit::event::KeyEvent,Struct,winit::event::KeyEvent,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::KeyEvent` and make the new wrapper `ElicitComplete`,
winit::event::Modifiers,Struct,winit::event::Modifiers,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::Modifiers` and make the new wrapper `ElicitComplete`,
winit::event::MouseButton,Enum,winit::event::MouseButton,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::MouseButton` and make the new wrapper `ElicitComplete`,
winit::event::MouseScrollDelta,Enum,winit::event::MouseScrollDelta,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::MouseScrollDelta` and make the new wrapper `ElicitComplete`,
winit::event::RawKeyEvent,Struct,winit::event::RawKeyEvent,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::RawKeyEvent` and make the new wrapper `ElicitComplete`,
winit::event::StartCause,Enum,winit::event::StartCause,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::StartCause` and make the new wrapper `ElicitComplete`,
winit::event::Touch,Struct,winit::event::Touch,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::Touch` and make the new wrapper `ElicitComplete`,
winit::event::TouchPhase,Enum,winit::event::TouchPhase,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::TouchPhase` and make the new wrapper `ElicitComplete`,
winit::event::WindowEvent,Enum,winit::event::WindowEvent,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event::WindowEvent` and make the new wrapper `ElicitComplete`,
winit::event_loop::ActiveEventLoop,Struct,winit::event_loop::ActiveEventLoop,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event_loop::ActiveEventLoop` and make the new wrapper `ElicitComplete`,
winit::event_loop::AsyncRequestSerial,Struct,winit::event_loop::AsyncRequestSerial,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event_loop::AsyncRequestSerial` and make the new wrapper `ElicitComplete`,
winit::event_loop::ControlFlow,Enum,winit::event_loop::ControlFlow,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event_loop::ControlFlow` and make the new wrapper `ElicitComplete`,
winit::event_loop::DeviceEvents,Enum,winit::event_loop::DeviceEvents,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event_loop::DeviceEvents` and make the new wrapper `ElicitComplete`,
winit::event_loop::EventLoop,Struct,winit::event_loop::EventLoop,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event_loop::EventLoop` and make the new wrapper `ElicitComplete`,
winit::event_loop::EventLoopBuilder,Struct,winit::event_loop::EventLoopBuilder,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event_loop::EventLoopBuilder` and make the new wrapper `ElicitComplete`,
winit::event_loop::EventLoopClosed,Struct,winit::event_loop::EventLoopClosed,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event_loop::EventLoopClosed` and make the new wrapper `ElicitComplete`,
winit::event_loop::EventLoopProxy,Struct,winit::event_loop::EventLoopProxy,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event_loop::EventLoopProxy` and make the new wrapper `ElicitComplete`,
winit::event_loop::OwnedDisplayHandle,Struct,winit::event_loop::OwnedDisplayHandle,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::event_loop::OwnedDisplayHandle` and make the new wrapper `ElicitComplete`,
winit::icon::BadIcon,Enum,winit::icon::BadIcon,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::icon::BadIcon` and make the new wrapper `ElicitComplete`,
winit::icon::Icon,Struct,winit::icon::Icon,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::icon::Icon` and make the new wrapper `ElicitComplete`,
winit::keyboard::Key,Enum,winit::keyboard::Key,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::keyboard::Key` and make the new wrapper `ElicitComplete`,
winit::keyboard::KeyCode,Enum,winit::keyboard::KeyCode,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::keyboard::KeyCode` and make the new wrapper `ElicitComplete`,
winit::keyboard::KeyLocation,Enum,winit::keyboard::KeyLocation,Missing,Missing,Missing,,,,false,false,,,,Add a shadow for upstream `winit::keyboard::KeyLocation` and make the new wrapper `ElicitComplete`,
