item_path,item_kind,status,shadow_item,drift_confidence,shadow_elicit_impl,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,notes
elicit_wkb::workflow::reader_plugin::ReadWkbParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::reader_plugin::WkbDimensionParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::reader_plugin::WkbEndiannessParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::reader_plugin::WkbGeometryTypeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::reader_plugin::WkbParsed,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::reader_plugin::WkbReaderPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::reader_plugin::WkbTryNewParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::writer_plugin::GeometryCollectionSizeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::writer_plugin::GeometrySizeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::writer_plugin::LineSizeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::writer_plugin::LineStringSizeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::writer_plugin::MultiLineStringSizeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::writer_plugin::MultiPointSizeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::writer_plugin::MultiPolygonSizeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::writer_plugin::PointSizeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::writer_plugin::PolygonSizeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::writer_plugin::RectSizeParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_wkb::workflow::writer_plugin::TriangleSizeParams,Struct,Extra,,,,,,,"in shadow, not in target"
